AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Andalucía;Jaén;A-32;Permanente;J-472-0;1354,9702;149,7247;1504,6949
2019;1;Andalucía;Jaén;A-32;Permanente;J-540-0;773,5646;126,5321;900,0967
2019;1;Andalucía;Cádiz;A-4;Permanente;CA-233-0;1678,4922;107,1099;1785,6021
2019;1;Andalucía;Córdoba;A-4;Permanente;CO-240-0;1958,3953;669,8922;2628,2875
2019;1;Andalucía;Córdoba;A-4;Permanente;CO-413-0;4326,6019;862,3816;5188,9835
2019;1;Andalucía;Jaén;A-4;Permanente;J-195-0;2012,3376;1061,1736;3073,5112
2019;1;Andalucía;Jaén;A-4;Permanente;J-470-0;2070,2374;1024,0212;3094,2586
2019;1;Andalucía;Sevilla;A-4;Permanente;SE-200-0;2369,4861;603,2573;2972,7434
2019;1;Andalucía;Sevilla;A-4;Permanente;SE-290-0;772,8321;78,0175;850,8496
2019;1;Andalucía;Granada;A-44;Permanente;GR-248-0;5593,0754;437,976;6031,0514
2019;1;Andalucía;Granada;A-44;Permanente;GR-452-0;211,0861;57,8871;268,9732
2019;1;Andalucía;Jaén;A-44;Permanente;J-196-0;7043,8857;1684,479;8728,3647
2019;1;Andalucía;Córdoba;A-45;Permanente;CO-162-0;11434,549;1178,2903;12612,8393
2019;1;Andalucía;Córdoba;A-45;Permanente;CO-23-0;7066,858;917,6016;7984,4596
2019;1;Andalucía;Córdoba;A-45;Permanente;CO-239-0;6603,7319;1075,6297;7679,3616
2019;1;Andalucía;Córdoba;A-45;Permanente;CO-425-0;6406,4851;1061,7878;7468,2729
2019;1;Andalucía;Málaga;A-45;Permanente;MA-272-0;12711,15;1968,8123;14679,9623
2019;1;Andalucía;Huelva;A-49;Permanente;H-252-0;9850,4333;1596,3556;11446,7889
2019;1;Andalucía;Huelva;A-49;Permanente;H-323-0;3404,2881;330,166;3734,4541
2019;1;Andalucía;Huelva;A-49;Permanente;H-384-0;2839,8324;249,4812;3089,3136
2019;1;Andalucía;Sevilla;A-66;Permanente;SE-456-0;1259,5689;245,2136;1504,7825
2019;1;Andalucía;Almería;A-7S;Permanente;AL-100-0;9468,1987;1348,989;10817,1877
2019;1;Andalucía;Almería;A-7S;Permanente;AL-193-0;4953,2231;1125,5844;6078,8075
