AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Cantabria;Cantabria;A-67;Permanente;S-91-0;2933,1654;549,4592;3482,6246
2019;1;Cantabria;Cantabria;A-8;Permanente;S-331-0;2075,6395;197,0912;2272,7307
2019;1;Cantabria;Cantabria;A-8;Permanente;S-394-0;978,3041;186,3631;1164,6672
2019;1;Cantabria;Cantabria;A-8;Permanente;S-584-0;1372,9974;192,6978;1565,6952
2019;1;Cantabria;Cantabria;A-8;Permanente;S-67-0;3831,4054;523,1296;4354,535
2019;1;Cantabria;Cantabria;N-621;Permanente;S-284-0;669,8325;36,7073;706,5398
2019;1;Cantabria;Cantabria;N-634;Permanente;S-583-0;580,1291;18,9404;599,0695
2019;2;Cantabria;Cantabria;A-67;Permanente;S-91-0;3487,9531;554,1608;4042,1139
2019;2;Cantabria;Cantabria;A-8;Permanente;S-331-0;2279,6784;221,1018;2500,7802
2019;2;Cantabria;Cantabria;A-8;Permanente;S-394-0;1130,7459;208,6368;1339,3827
2019;2;Cantabria;Cantabria;A-8;Permanente;S-584-0;1550,3694;215,278;1765,6474
2019;2;Cantabria;Cantabria;A-8;Permanente;S-67-0;4450,0606;566,2359;5016,2965
2019;2;Cantabria;Cantabria;N-621;Permanente;S-284-0;771,1568;36,4039;807,5607
2019;2;Cantabria;Cantabria;N-634;Permanente;S-583-0;612,193;21,0685;633,2615
2019;3;Cantabria;Cantabria;A-67;Permanente;S-91-0;3799,5119;557,9221;4357,434
2019;3;Cantabria;Cantabria;A-8;Permanente;S-331-0;2527,7538;220,7953;2748,5491
2019;3;Cantabria;Cantabria;A-8;Permanente;S-394-0;1279,1007;203,9368;1483,0375
2019;3;Cantabria;Cantabria;A-8;Permanente;S-584-0;1761,5605;215,3802;1976,9407
2019;3;Cantabria;Cantabria;A-8;Permanente;S-67-0;4640,8459;549,7384;5190,5843
2019;3;Cantabria;Cantabria;N-621;Permanente;S-284-0;892,5033;44,2915;936,7948
2019;3;Cantabria;Cantabria;N-634;Permanente;S-583-0;632,4812;21,4232;653,9044
2019;4;Cantabria;Cantabria;A-67;Permanente;S-91-0;3852,7966;577,6687;4430,4653
2019;4;Cantabria;Cantabria;A-8;Permanente;S-331-0;2721,9844;223,9627;2945,9471
2019;4;Cantabria;Cantabria;A-8;Permanente;S-394-0;1514,4046;208,0237;1722,4283
2019;4;Cantabria;Cantabria;A-8;Permanente;S-584-0;1824,9075;220,591;2045,4985
2019;4;Cantabria;Cantabria;A-8;Permanente;S-67-0;4866,4886;563,0428;5429,5314
2019;4;Cantabria;Cantabria;N-621;Permanente;S-284-0;1027,8046;50,3588;1078,1634
2019;4;Cantabria;Cantabria;N-634;Permanente;S-583-0;615,1014;20,0045;635,1059
2019;5;Cantabria;Cantabria;A-67;Permanente;S-91-0;3983,1876;593,6541;4576,8417
2019;5;Cantabria;Cantabria;A-8;Permanente;S-331-0;2680,0934;241,9451;2922,0385
2019;5;Cantabria;Cantabria;A-8;Permanente;S-394-0;1343,776;227,5387;1571,3147
2019;5;Cantabria;Cantabria;A-8;Permanente;S-584-0;1850,7573;236,0191;2086,7764
2019;5;Cantabria;Cantabria;A-8;Permanente;S-67-0;4722,6678;587,2569;5309,9247
