AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Cataluña;Lleida;A-14;Permanente;L-548-0;2677,9754;283,9312;2961,9066
2019;1;Cataluña;Barcelona;A-2;Permanente;B-225-0;4637,4418;1093,4368;5730,8786
2019;1;Cataluña;Barcelona;A-2;Permanente;B-226-0;14044,026;1818,818;15862,844
2019;1;Cataluña;Barcelona;A-2;Permanente;B-372-0;18166,4253;1376,2399;19542,6652
2019;1;Cataluña;Girona;A-2;Permanente;GI-106-0;89,3048;13,3065;102,6113
2019;1;Cataluña;Girona;A-2;Permanente;GI-177-0;42,3023;2,941;45,2433
2019;1;Cataluña;Girona;A-2;Permanente;GI-203-0;466,8976;50,3137;517,2113
2019;1;Cataluña;Girona;A-2;Permanente;GI-703-0;29,4987;9,3827;38,8814
2019;1;Cataluña;Girona;A-2;Permanente;GI-806-0;0,4357;0,0501;0,4858
2019;1;Cataluña;Lleida;A-2;Permanente;L-178-0;1583,3851;704,5668;2287,9519
2019;1;Cataluña;Lleida;A-2;Permanente;L-476-0;550,8636;274,1257;824,9893
2019;1;Cataluña;Lleida;A-2;Permanente;L-491-0;1155,6128;360,5283;1516,1411
2019;1;Cataluña;Lleida;A-22;Permanente;L-475-0;1232,3597;180,2163;1412,576
2019;1;Cataluña;Girona;A-26;Permanente;GI-199-0;10499,298;1375,1719;11874,4699
2019;1;Cataluña;Girona;A-26;Permanente;GI-247-0;11691,3705;1325,0606;13016,4311
2019;1;Cataluña;Girona;AP-7N;Permanente;GI-402-0;1352,4584;1336,0074;2688,4658
2019;1;Cataluña;Barcelona;B-23;Permanente;B-76-0;28964,8306;4035,8168;33000,6474
2019;1;Cataluña;Barcelona;B-40;Permanente;B-448-0;12010,6157;392,9654;12403,5811
2019;1;Cataluña;Lleida;N-141;Permanente;L-412-0;288,0;10,0;298,0
2019;1;Cataluña;Lleida;N-145;Permanente;L-334-0;13007,0001;596,0;13603,0001
2019;1;Cataluña;Girona;N-152;Permanente;GI-406-0;1109,1908;7,3468;1116,5376
2019;1;Cataluña;Girona;N-154;Permanente;GI-408-0;1379,2444;69,9023;1449,1467
2019;1;Cataluña;Girona;N-154;Permanente;GI-554-0;4505,9317;116,1205;4622,0522
2019;1;Cataluña;Girona;N-2;Permanente;GI-180-0;689,6623;51,7002;741,3625
2019;1;Cataluña;Girona;N-2;Permanente;GI-404-0;88,1263;3,415;91,5413
2019;1;Cataluña;Lleida;N-230;Permanente;L-175-0;66,0796;20,2788;86,3584
2019;1;Cataluña;Lleida;N-230;Permanente;L-259-0;680,0479;67,5394;747,5873
2019;1;Cataluña;Lleida;N-230;Permanente;L-410-0;77,8097;6,7853;84,595
2019;1;Cataluña;Lleida;N-240;Permanente;L-546-0;173,1839;57,0667;230,2506
2019;1;Cataluña;Lleida;N-240;Permanente;L-547-0;47,4716;16,9705;64,4421
2019;1;Cataluña;Tarragona;N-240;Permanente;T-183-0;117,2803;19,41;136,6903
2019;1;Cataluña;Girona;N-260;Permanente;GI-213-0;217,2943;15,855;233,1493
2019;1;Cataluña;Girona;N-260;Permanente;GI-400-0;6,9831;0,1211;7,1042
2019;1;Cataluña;Lleida;N-260;Permanente;L-19-0;335,0057;20,5017;355,5074
2019;1;Cataluña;Tarragona;N-340;Permanente;T-176-0;660,6607;68,8642;729,5249
2019;1;Cataluña;Tarragona;N-340;Permanente;T-8-0;57,1802;6,3566;63,5368
