AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-125-0;6446,7763;1253,304;7700,0803
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-270-0;50946,8786;1637,9177;52584,7963
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-38-0;47621,1426;1380,6033;49001,7459
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-738-0;12686,4791;279,0401;12965,5192
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-838-0;10661,5715;312,3076;10973,8791
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-92-0;17766,2298;1521,4812;19287,711
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-94-0;28237,7;2052,0648;30289,7648
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-95-0;10163,9154;1205,1001;11369,0155
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-96-0;4664,586;1329,0047;5993,5907
2019;1;Comunidad de Madrid;Madrid;A-1;Permanente;M-97-0;4955,1675;1219,0181;6174,1856
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-104-0;4599,1969;700,8499;5300,0468
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-107-0;3764,0357;746,7985;4510,8342
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-155-0;6491,0686;946,0162;7437,0848
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-304-0;3494,0744;688,6398;4182,7142
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-343-0;5637,378;321,4259;5958,8039
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-345-0;4710,641;836,0716;5546,7126
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-704-0;406,147;33,6314;439,7784
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-734-0;2004,2261;146,7891;2151,0152
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-743-0;176,2969;7,2297;183,5266
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-755-0;720,8252;50,6613;771,4865
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-784-0;103,5877;10,5153;114,103
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-785-0;421,5703;26,0804;447,6507
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-786-0;608,1494;30,3111;638,4605
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-798-0;962,7783;75,7777;1038,556
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-834-0;1697,7415;98,6984;1796,4399
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-84-0;918,2394;42,9578;961,1972
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-85-0;6376,1971;476,73;6852,9271
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-855-0;489,797;46,4306;536,2276
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-86-0;7817,1513;1083,4871;8900,6384
2019;1;Comunidad de Madrid;Madrid;A-2;Permanente;M-98-0;5710,4245;247,6833;5958,1078
2019;1;Comunidad de Madrid;Madrid;A-3;Permanente;M-108-0;2837,4249;47,2211;2884,646
2019;1;Comunidad de Madrid;Madrid;A-3;Permanente;M-109-0;7799,7039;676,4064;8476,1103
2019;1;Comunidad de Madrid;Madrid;A-3;Permanente;M-110-0;4742,5369;717,3214;5459,8583
2019;1;Comunidad de Madrid;Madrid;A-3;Permanente;M-132-0;3363,5385;679,8433;4043,3818
2019;1;Comunidad de Madrid;Madrid;A-3;Permanente;M-139-0;4456,6611;192,8344;4649,4955
