AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Galicia;Ourense;A-52;Permanente;OR-329-0;8538,9419;1019,2064;9558,1483
2019;1;Galicia;Pontevedra;A-52;Permanente;PO-590-0;3954,05;382,5797;4336,6297
2019;1;Galicia;A Coruña;A-54;Permanente;C-295-0;330,5778;13,3431;343,9209
2019;1;Galicia;A Coruña;A-54;Permanente;C-580-0;1852,8875;179,8985;2032,786
2019;1;Galicia;Lugo;A-54;Permanente;LU-169-0;249,4283;36,7561;286,1844
2019;1;Galicia;Pontevedra;A-55;Permanente;PO-130-0;4913,6774;179,8848;5093,5622
2019;1;Galicia;Pontevedra;A-55;Permanente;PO-376-0;9833,8249;1743,7298;11577,5547
2019;1;Galicia;Pontevedra;A-55;Permanente;PO-589-0;43450,5605;2904,7143;46355,2748
2019;1;Galicia;A Coruña;A-6;Permanente;C-321-0;774,8962;137,7055;912,6017
2019;1;Galicia;Ourense;A-75;Permanente;OR-427-0;2156,0;762,0;2918,0
2019;1;Galicia;Ourense;A-75;Permanente;OR-428-0;2001,9999;749,0;2750,9999
2019;1;Galicia;Lugo;A-8;Permanente;LU-168-0;120,0294;27,5625;147,5919
2019;1;Galicia;Lugo;A-8;Permanente;LU-194-0;265,6552;55,8153;321,4705
2019;1;Galicia;A Coruña;AC-10;Permanente;C-101-0;0,0;0,0;0,0
2019;1;Galicia;A Coruña;AC-11;Permanente;C-555-0;85793,3913;4007,558;89800,9493
2019;1;Galicia;A Coruña;AC-12;Permanente;C-550-0;65768,9989;1532,4234;67301,4223
2019;1;Galicia;A Coruña;AC-12;Permanente;C-562-0;66593,7745;1607,5501;68201,3246
2019;1;Galicia;A Coruña;AC-12;Permanente;C-579-0;38754,0743;1294,1182;40048,1925
2019;1;Galicia;A Coruña;AC-14;Permanente;C-279-0;5087,543;133,7243;5221,2673
2019;1;Galicia;A Coruña;AC-14;Permanente;C-290-0;9633,8363;268,786;9902,6223
2019;1;Galicia;A Coruña;AC-15;Permanente;C-469-0;290,0;255,0;545,0
2019;1;Galicia;Lugo;LU-12;Permanente;LU-164-0;2441,0;117,0;2558,0
2019;1;Galicia;Lugo;N-120;Permanente;LU-264-0;109,5152;34,96;144,4752
2019;1;Galicia;Ourense;N-120;Permanente;OR-150-0;47,0855;5,3517;52,4372
2019;1;Galicia;Ourense;N-525;Permanente;OR-20-0;424,5326;24,4862;449,0188
2019;1;Galicia;Pontevedra;N-525;Permanente;PO-283-0;354,4636;34,7811;389,2447
2019;1;Galicia;Pontevedra;N-525;Permanente;PO-395-0;10,3514;1,1973;11,5487
2019;1;Galicia;Pontevedra;N-525;Permanente;PO-396-0;233,4126;29,5401;262,9527
2019;1;Galicia;Ourense;N-532;Permanente;OR-378-0;24,9907;1,0861;26,0768
2019;1;Galicia;Lugo;N-540;Permanente;LU-261-0;1139,9907;127,8221;1267,8128
2019;1;Galicia;A Coruña;N-547;Permanente;C-241-0;2625,3728;209,9229;2835,2957
2019;1;Galicia;A Coruña;N-550;Permanente;C-293-0;0,0;0,0;0,0
2019;1;Galicia;A Coruña;N-550;Permanente;C-52-0;1373,4558;111,5879;1485,0437
2019;1;Galicia;Pontevedra;N-550;Permanente;PO-152-0;1118,7078;109,1422;1227,85
2019;1;Galicia;Pontevedra;N-550;Permanente;PO-358-0;154,1447;17,5206;171,6653
2019;1;Galicia;Pontevedra;N-550;Permanente;PO-359-0;189,322;23,6936;213,0156
2019;1;Galicia;Pontevedra;N-551;Permanente;PO-377-0;785,0909;11,0909;796,1818
2019;1;Galicia;A Coruña;N-6;Permanente;C-154-0;51,8151;6,5382;58,3533
2019;1;Galicia;A Coruña;N-6;Permanente;C-577-0;215,0323;19,072;234,1043
2019;1;Galicia;A Coruña;N-634;Permanente;C-277-0;0,0;0,0;0,0
2019;1;Galicia;Lugo;N-634;Permanente;LU-156-0;343,507;25,1347;368,6417
2019;1;Galicia;Lugo;N-640;Permanente;LU-263-0;1330,8924;135,7023;1466,5947
2019;1;Galicia;Lugo;N-642;Permanente;LU-262-0;3250,3846;244,2919;3494,6765
2019;1;Galicia;A Coruña;N-651;Permanente;C-12-0;695,8825;20,6621;716,5446
2019;1;Galicia;A Coruña;SC-20;Permanente;C-196-0;23897,9993;2516,0;26413,9993
2019;2;Galicia;Ourense;A-52;Permanente;OR-329-0;8816,8157;1084,2621;9901,0778
2019;2;Galicia;Pontevedra;A-52;Permanente;PO-590-0;4231,9521;402,1828;4634,1349
2019;2;Galicia;A Coruña;A-54;Permanente;C-295-0;352,2205;12,7047;364,9252
2019;2;Galicia;A Coruña;A-54;Permanente;C-580-0;1905,3298;194,8339;2100,1637
