AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-136-0;1944,9435;1158,5002;3103,4437
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-337-0;12997,6666;2201,3359;15199,0025
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-371-0;11529,3048;2208,3909;13737,6957
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-399-0;5111,882;1426,032;6537,914
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-435-0;1897,9723;1172,7958;3070,7681
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-494-0;3317,692;1371,4488;4689,1408
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-495-0;2321,0849;1271,5653;3592,6502
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-496-0;1846,1739;1210,6698;3056,8437
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-497-0;1641,7656;1224,7798;2866,5454
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-66-0;12228,1183;1420,6479;13648,7662
2019;1;Castilla - La Mancha;Guadalajara;A-2;Permanente;GU-771-0;103,968;25,0637;129,0317
2019;1;Castilla - La Mancha;Cuenca;A-3;Permanente;CU-322-0;4212,2707;2516,0987;6728,3694
2019;1;Castilla - La Mancha;Cuenca;A-3;Permanente;CU-801-0;9509,3206;2110,7018;11620,0224
2019;1;Castilla - La Mancha;Cuenca;A-3;Permanente;CU-802-0;6677,6315;2300,9694;8978,6009
2019;1;Castilla - La Mancha;Cuenca;A-3;Permanente;CU-803-0;6233,166;2129,9823;8363,1483
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;A-508-0;0,0;0,0;0,0
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-11-0;8233,9244;2249,5673;10483,4917
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-130-0;5217,754;1372,8852;6590,6392
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-401-0;7538,4494;1502,7222;9041,1716
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-403-0;7936,9925;2181,8262;10118,8187
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-405-0;9861,4032;2309,9697;12171,3729
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-407-0;12940,2331;2608,5948;15548,8279
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-409-0;10323,1711;2917,9457;13241,1168
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-411-0;5321,624;1383,6109;6705,2349
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-503-0;4891,468;1412,9653;6304,4333
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-504-0;5371,3004;1386,998;6758,2984
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-505-0;5470,0894;1501,5932;6971,6826
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-506-0;5747,2633;1597,5597;7344,823
2019;1;Castilla - La Mancha;Albacete;A-31;Permanente;AB-507-0;4929,8548;1077,0827;6006,9375
