iter	RMSE
0	1.881484191
1	1.833548576
2	1.790272679
3	1.745615644
4	1.707309364
5	1.666085096
6	1.625219003
7	1.58518443
8	1.547703588
9	1.509131023
10	1.474308698
11	1.439862768
12	1.407589027
13	1.374128083
14	1.345608586
15	1.314471692
16	1.284728393
17	1.254645796
18	1.228375244
19	1.199861687
20	1.17381536
21	1.147469244
22	1.124936121
23	1.099718023
24	1.074691117
25	1.050928296
26	1.029527266
27	1.007328846
28	0.9849036849
29	0.9643565238
30	0.9435606341
31	0.9221478592
32	0.9038391542
33	0.8861771041
34	0.8679797741
35	0.8502883433
36	0.8338337229
37	0.8198029625
38	0.804345211
39	0.7885377266
40	0.7729710674
41	0.7580238185
42	0.7429919803
43	0.7287921981
44	0.7151579495
45	0.7009130508
46	0.6882315945
47	0.6755802891
48	0.6631472606
49	0.6527163008
50	0.6405877665
51	0.6303900059
52	0.6194264248
53	0.6094193805
54	0.5986287959
55	0.5882283359
56	0.5789200507
57	0.5693782094
58	0.5606445182
59	0.5524460132
60	0.5436290178
61	0.5350441794
62	0.5269019462
63	0.520038613
64	0.5127743978
65	0.5048302903
66	0.497993697
67	0.4907377336
68	0.4840712118
69	0.4772502519
70	0.4711656837
71	0.4648268899
72	0.4583645361
73	0.4521071629
74	0.4467407747
75	0.4413431773
76	0.4356008037
77	0.4300014742
78	0.4247608757
79	0.4201204434
80	0.4156821467
81	0.4110171125
82	0.4061310122
83	0.4014441777
84	0.3970234264
85	0.3924515157
86	0.3888873486
87	0.3846105635
88	0.3804960696
89	0.3762627562
90	0.3723790275
91	0.3688372973
92	0.3649064897
93	0.361543918
94	0.3582516768
95	0.3549549813
96	0.3515762989
97	0.3481242718
98	0.3454151802
99	0.3423012862
100	0.3393346677
101	0.3358192093
102	0.3327355827
103	0.3299636022
104	0.327250865
105	0.3250633894
106	0.3228930962
107	0.3199273497
108	0.3176323981
109	0.314715168
110	0.3116754649
111	0.3088098342
112	0.3069944402
113	0.3048489438
114	0.3031343743
115	0.3006812128
116	0.2978755104
117	0.2961527
118	0.294437547
119	0.2924260875
120	0.2906220788
121	0.2888568012
122	0.2869846846
123	0.2848084982
124	0.2829133253
125	0.2808893841
126	0.2795780033
127	0.2777295082
128	0.2759961535
129	0.2745166918
130	0.2733319069
131	0.2716852139
132	0.2702457798
133	0.2686087176
134	0.2674535176
135	0.2660230529
136	0.2645892876
137	0.2628673079
138	0.2615321143
139	0.2602176387
140	0.2590800956
141	0.2578318111
142	0.2564462871
143	0.2547552711
144	0.2531896924
145	0.2520200285
146	0.2508784297
147	0.2498137408
148	0.248868027
149	0.2477453607
150	0.2468841543
151	0.2458005247
152	0.2446548521
153	0.2437099858
154	0.2425933058
155	0.2411637339
156	0.2404115994
157	0.2387279809
158	0.2375955056
159	0.2363941241
160	0.2356062297
161	0.2340908507
162	0.2332559647
163	0.2322151558
164	0.2312928807
165	0.230483492
166	0.2294717279
167	0.2285049143
168	0.2278545596
169	0.2272110656
170	0.2262921772
171	0.225542461
172	0.2249080785
173	0.2243326844
174	0.223611065
175	0.2230397647
176	0.2225456778
177	0.2217215787
178	0.2211438327
179	0.2208212205
180	0.2201830943
181	0.2192935396
182	0.2182055696
183	0.217533254
184	0.216710728
185	0.2160892862
186	0.215370434
187	0.2147562825
188	0.2142319712
189	0.2135749691
190	0.2129915683
191	0.2126540169
192	0.2122180868
193	0.2115670692
194	0.2109106923
195	0.210740178
196	0.2099552244
197	0.2092225281
198	0.2089030929
199	0.2084826853
200	0.2075965296
201	0.2070746916
202	0.2064004436
203	0.2056528558
204	0.2052639574
205	0.2048650747
206	0.2036641335
207	0.2025280069
208	0.2021008534
209	0.2012869783
210	0.2006237968
211	0.2003209997
212	0.1997827685
213	0.1995570313
214	0.1986077941
215	0.1976912148
216	0.1974218314
217	0.1969791203
218	0.1966789365
219	0.1958338001
220	0.1946511625
221	0.1942202897
222	0.1936885224
223	0.1928942648
224	0.192374446
225	0.1919340078
226	0.1914790225
227	0.1911192649
228	0.1904430277
229	0.1901302863
230	0.189789894
231	0.1893524937
232	0.1887858749
233	0.18858702
234	0.1881903967
235	0.1878201461
236	0.1874063949
237	0.1869679335
238	0.1861984731
239	0.1857945241
240	0.1855477638
241	0.1848640743
242	0.1844481521
243	0.184237053
244	0.183857221
245	0.183398123
246	0.1830453676
247	0.1829328264
248	0.1824725028
249	0.1823205684
250	0.1821331013
251	0.1818305237
252	0.1815936388
253	0.1813420254
254	0.1810225805
255	0.1805642411
256	0.1801355498
257	0.1795853011
258	0.1792383418
259	0.1789053915
260	0.1785944425
261	0.1782316976
262	0.1778141458
263	0.1775201032
264	0.1769366322
265	0.1767544986
266	0.17592545
267	0.175604558
268	0.175375037
269	0.1752242316
270	0.1749459799
271	0.17469125
272	0.1743941577
273	0.1740408773
274	0.1737616382
275	0.1732131052
276	0.1730377319
277	0.1726294286
278	0.1723036675
279	0.1720664638
280	0.1717834217
281	0.1714529103
282	0.1711984905
283	0.1709398641
284	0.1707444473
285	0.1704433391
286	0.1702077815
287	0.1700062744
288	0.1699006214
289	0.1695115308
290	0.1690254373
291	0.1687414904
292	0.168468624
293	0.1684089476
294	0.1680349436
295	0.167984241
296	0.1677705813
297	0.1676692006
298	0.1674091358
299	0.1671194583
300	0.166947223
301	0.1665908947
302	0.1663158055
303	0.1659833578
304	0.1656058211
305	0.1654755303
306	0.1651105779
307	0.1648046049
308	0.1644767022
309	0.1642484803
310	0.1639194825
311	0.1637190933
312	0.1634044938
313	0.162926816
314	0.162494293
315	0.1623262811
316	0.1621392668
317	0.1616900029
318	0.1614677277
319	0.160991986
320	0.1607856037
321	0.1607354013
322	0.1604306594
323	0.1601890545
324	0.1599638479
325	0.1595439973
326	0.1593372343
327	0.1592917845
328	0.1590602164
329	0.1587051069
330	0.1585663555
331	0.1581163408
332	0.1577104968
333	0.1574887037
334	0.1573478253
335	0.1569260844
336	0.1567404436
337	0.1565201238
338	0.1561670918
339	0.1557960004
340	0.1557349989
341	0.1553733602
342	0.1552547604
343	0.1549065783
344	0.1547818323
345	0.1544766876
346	0.1542450271
347	0.1537045347
348	0.1533843032
349	0.1531493276
350	0.1530144731
351	0.1526732996
352	0.1523387776
353	0.1520626282
354	0.1518573086
355	0.1515899305
356	0.1512621218
357	0.1508185919
358	0.1505804127
359	0.1504213995
360	0.150095097
361	0.1499059719
362	0.1498596918
363	0.149765301
364	0.1496009388
365	0.1494728055
366	0.1491986103
367	0.1488656972
368	0.1487626903
369	0.1486647565
370	0.1484113562
371	0.1482176377
372	0.1481208862
373	0.1480978238
374	0.1478747203
375	0.1476373692
376	0.1475592621
377	0.1473141405
378	0.1470072419
379	0.1468782322
380	0.1467182227
381	0.1464321247
382	0.1462852375
383	0.1461191395
384	0.1459286832
385	0.1457315166
386	0.1455982892
387	0.1455791703
388	0.1454488368
389	0.1453757254
390	0.1451895641
391	0.1447926798
392	0.1446296979
393	0.1442531376
394	0.1440666114
395	0.1437187299
396	0.1435718231
397	0.1433811787
398	0.143120462
399	0.1429917782
400	0.1428863999
401	0.1427200798
402	0.1425721921
403	0.1424015308
404	0.1422577892
405	0.1418659755
406	0.1417327061
407	0.1415784501
408	0.1414533976
409	0.1413148434
410	0.141198973
411	0.1410417794
412	0.1409114671
413	0.1406941434
414	0.1405501344
415	0.1404593082
416	0.1403821621
417	0.1402954656
418	0.140280234
419	0.140245629
420	0.1401145357
421	0.1399916724
422	0.139871643
423	0.1397459997
424	0.1396151284
425	0.139519113
426	0.139406866
427	0.1393268111
428	0.1392213819
429	0.1390763564
430	0.1389513268
431	0.1389167685
432	0.1387870034
433	0.1386989248
434	0.1385753129
435	0.1383161695
436	0.138238669
437	0.1381797311
438	0.1380422015
439	0.137885933
440	0.1377540203
441	0.1374770571
442	0.1373244788
443	0.1371934831
444	0.1369773102
445	0.1367861239
446	0.1365884816
447	0.1365163231
448	0.1363735511
449	0.1362308379
450	0.1358546405
451	0.1357539562
452	0.1356898343
453	0.1356304407
454	0.1355108765
455	0.1353915789
456	0.1352383036
457	0.1351087662
458	0.1350397199
459	0.1349077981
460	0.1347434164
461	0.1346951675
462	0.1345962355
463	0.1342811736
464	0.1341309632
465	0.1339868407
466	0.1338701622
467	0.1334856573
468	0.1333810219
469	0.1332798621
470	0.1330149159
471	0.1328862824
472	0.1326636693
473	0.1326494162
474	0.132556944
475	0.1323604407
476	0.1322190464
477	0.1321606499
478	0.1320113479
479	0.1317398172
480	0.131445758
481	0.1313394524
482	0.1312302891
483	0.1311197509
484	0.1309884779
485	0.1308356806
486	0.1306664306
487	0.1305371834
488	0.1305056707
489	0.1304223856
490	0.1303473638
491	0.1302345717
492	0.1301511575
493	0.1300904259
494	0.1299681101
495	0.1297064877
496	0.129641319
497	0.1295327427
498	0.1294147772
499	0.129398971
500	0.1293130071
501	0.1291754997
