iter	Passed	Remaining
0	33	49930
1	70	52513
2	115	57697
3	154	57728
4	207	62107
5	252	62881
6	284	60601
7	310	57932
8	341	56584
9	381	56791
10	433	58694
11	487	60450
12	519	59370
13	560	59484
14	598	59234
15	627	58181
16	657	57390
17	692	57006
18	722	56286
19	749	55471
20	783	55147
21	830	55771
22	894	57451
23	968	59540
24	1019	60177
25	1059	60044
26	1092	59580
27	1121	58978
28	1154	58547
29	1193	58505
30	1236	58602
31	1276	58541
32	1326	58957
33	1385	59757
34	1440	60295
35	1479	60186
36	1532	60580
37	1575	60596
38	1614	60478
39	1651	60268
40	1684	59947
41	1727	59965
42	1748	59231
43	1794	59381
44	1823	58975
45	1850	58484
46	1885	58289
47	1915	57946
48	1960	58046
49	2004	58122
50	2033	57777
51	2064	57495
52	2108	57571
53	2161	57881
54	2199	57779
55	2242	57821
56	2287	57897
57	2327	57856
58	2370	57897
59	2404	57718
60	2437	57500
61	2474	57381
62	2512	57301
63	2550	57234
64	2591	57206
65	2622	56978
66	2662	56956
67	2696	56778
68	2727	56574
69	2759	56366
70	2790	56165
71	2823	56007
72	2970	58068
73	3041	58612
74	3087	58654
75	3121	58481
76	3166	58514
77	3208	58491
78	3248	58439
79	3280	58226
80	3316	58104
81	3348	57905
82	3376	57636
83	3402	57351
84	3436	57200
85	3467	57004
86	3499	56840
87	3533	56697
88	3563	56493
89	3596	56351
90	3631	56221
91	3644	55775
92	3678	55651
93	3712	55526
94	3748	55438
95	3780	55293
96	3810	55114
97	3846	55030
98	3880	54916
99	3916	54826
100	3950	54719
101	3987	54652
102	4024	54582
103	4052	54394
104	4085	54274
105	4117	54153
106	4160	54162
107	4197	54102
108	4232	54015
109	4264	53894
110	4302	53842
111	4319	53529
112	4348	53379
113	4381	53271
114	4414	53166
115	4445	53042
116	4478	52934
117	4512	52850
118	4550	52808
119	4583	52712
120	4619	52643
121	4648	52507
122	4687	52481
123	4719	52373
124	4757	52335
125	4792	52262
126	4829	52216
127	4873	52235
128	4912	52206
129	4957	52241
130	4990	52155
131	5022	52047
132	5054	51954
133	5091	51900
134	5125	51822
135	5163	51789
136	5194	51675
137	5223	51553
138	5254	51444
139	5286	51353
140	5316	51241
141	5343	51099
142	5375	51013
143	5405	50904
144	5438	50821
145	5467	50703
146	5497	50602
147	5527	50494
148	5559	50404
149	5586	50282
150	5614	50155
151	5641	50035
152	5671	49930
153	5740	50176
154	5784	50196
155	5828	50218
156	5872	50231
157	5925	50332
158	5964	50307
159	6039	50583
160	6072	50503
161	6115	50509
162	6162	50549
163	6213	50621
164	6257	50630
165	6292	50566
166	6329	50523
167	6364	50457
168	6398	50389
169	6433	50330
170	6469	50282
171	6503	50215
172	6536	50142
173	6564	50025
174	6595	49934
175	6626	49848
176	6764	50563
177	6830	50733
178	6873	50725
179	6911	50685
180	6946	50622
181	6984	50580
182	7013	50471
183	7052	50444
184	7122	50628
185	7178	50710
186	7268	51037
187	7322	51099
188	7357	51036
189	7391	50961
190	7427	50904
191	7458	50813
192	7492	50740
193	7530	50694
194	7584	50754
195	7650	50898
196	7707	50978
197	7759	51025
198	7822	51143
199	7854	51051
200	7884	50955
201	7915	50860
202	7965	50891
203	8004	50855
204	8040	50789
205	8088	50811
206	8149	50905
207	8204	50964
208	8246	50941
209	8282	50880
210	8316	50808
211	8348	50723
212	8382	50650
213	8522	51213
214	8590	51341
215	8648	51408
216	8702	51450
217	8747	51444
218	8794	51440
219	8829	51372
220	8866	51311
221	8901	51244
222	8939	51189
223	8982	51168
224	9024	51137
225	9060	51076
226	9094	51003
227	9130	50935
228	9163	50856
229	9194	50769
230	9227	50688
231	9258	50600
232	9267	50391
233	9297	50304
234	9329	50220
235	9361	50137
236	9399	50089
237	9442	50067
238	9474	49987
239	9510	49929
240	9544	49862
241	9578	49793
242	9619	49761
243	9661	49731
244	9696	49668
245	9743	49668
246	9780	49613
247	9825	49605
248	9863	49553
249	9896	49480
250	9929	49408
251	9963	49342
252	9997	49276
253	10025	49181
254	10054	49089
255	10086	49011
256	10116	48929
257	10124	48739
258	10154	48653
259	10186	48582
260	10217	48504
261	10252	48445
262	10285	48376
263	10315	48296
264	10345	48215
265	10373	48124
266	10403	48043
267	10435	47972
268	10465	47891
269	10499	47831
270	10561	47897
271	10619	47945
272	10666	47942
273	10716	47951
274	10766	47958
275	10809	47935
276	10851	47911
277	10896	47899
278	10942	47890
279	11000	47929
280	11045	47915
281	11083	47872
282	11127	47853
283	11163	47798
284	11195	47729
285	11229	47667
286	11264	47608
287	11298	47549
288	11334	47493
289	11376	47468
290	11410	47407
291	11448	47363
292	11488	47326
293	11525	47279
294	11561	47226
295	11598	47176
296	11629	47107
297	11779	47514
298	11859	47637
299	11907	47629
300	11946	47588
301	11986	47548
302	12026	47512
303	12091	47569
304	12143	47579
305	12246	47784
306	12299	47795
307	12338	47749
308	12375	47700
309	12421	47682
310	12461	47641
311	12502	47606
312	12542	47566
313	12587	47542
314	12646	47573
315	12704	47602
316	12771	47662
317	12865	47820
318	12911	47799
319	12953	47765
320	13018	47817
321	13077	47843
322	13131	47849
323	13176	47827
324	13214	47776
325	13248	47710
326	13282	47645
327	13323	47606
328	13366	47573
329	13406	47533
330	13443	47480
331	13482	47431
332	13526	47403
333	13563	47351
334	13599	47294
335	13639	47251
336	13680	47211
337	13717	47157
338	13749	47088
339	13780	47017
340	13929	47344
341	14008	47432
342	14048	47389
343	14095	47367
344	14140	47341
345	14175	47280
346	14210	47216
347	14245	47158
348	14285	47114
349	14322	47058
350	14361	47013
351	14404	46979
352	14445	46936
353	14485	46892
354	14521	46837
355	14562	46795
356	14603	46754
357	14639	46698
358	14676	46647
359	14717	46605
360	14753	46550
361	14789	46493
362	14822	46428
363	14854	46358
364	14891	46305
365	14926	46247
366	14960	46185
367	14991	46115
368	15022	46045
369	15057	45985
370	15100	45952
371	15136	45897
372	15169	45835
373	15202	45769
374	15240	45721
375	15284	45691
376	15328	45660
377	15365	45608
378	15401	45553
379	15435	45492
380	15473	45445
381	15503	45375
382	15536	45312
383	15566	45239
384	15596	45170
385	15630	45108
386	15659	45037
387	15689	44965
388	15718	44893
389	15755	44841
390	15789	44783
391	15829	44743
392	15890	44759
393	15939	44743
394	15982	44710
395	16121	44944
396	16162	44905
397	16205	44870
398	16255	44854
399	16310	44854
400	16358	44832
401	16405	44808
402	16445	44765
403	16481	44712
404	16513	44646
405	16547	44587
406	16586	44542
407	16650	44565
408	16685	44507
409	16724	44463
410	16761	44411
411	16798	44361
412	16833	44304
413	16864	44240
414	16894	44170
415	17058	44451
416	17121	44465
417	17234	44610
418	17397	44885
419	17590	45233
420	17706	45381
421	17788	45441
422	17951	45706
423	18006	45695
424	18063	45691
425	18103	45641
426	18138	45578
427	18187	45552
428	18237	45530
429	18297	45531
430	18349	45512
431	18396	45481
432	18435	45427
433	18472	45371
434	18513	45325
435	18545	45257
436	18579	45195
437	18612	45127
438	18646	45064
439	18678	44999
440	18720	44953
441	18752	44887
442	18789	44831
443	18817	44755
444	18852	44695
445	18908	44684
446	18949	44640
447	18991	44595
448	19028	44541
449	19071	44500
450	19117	44465
451	19158	44421
452	19195	44366
453	19231	44309
454	19272	44263
455	19309	44208
456	19339	44138
457	19369	44068
458	19398	43994
459	19538	44172
460	19600	44176
461	19642	44131
462	19680	44079
463	19727	44046
464	19773	44011
465	19818	43974
466	19855	43920
467	19890	43860
468	19925	43801
469	19961	43745
470	19998	43690
471	20040	43648
472	20086	43612
473	20121	43553
474	20155	43493
475	20188	43429
476	20219	43364
477	20255	43308
478	20299	43267
479	20333	43208
480	20368	43150
481	20399	43083
482	20430	43018
483	20468	42967
484	20517	42938
485	20552	42880
486	20598	42846
487	20634	42791
488	20671	42737
489	20714	42696
490	20750	42642
491	20797	42609
492	20836	42560
493	20879	42519
494	20912	42458
495	20945	42398
496	20976	42333
497	21005	42264
498	21034	42195
499	21063	42126
500	21094	42062
501	21122	41992
502	21149	41920
503	21177	41850
504	21212	41795
505	21278	41800
506	21320	41757
507	21379	41749
508	21430	41724
509	21467	41671
510	21496	41604
511	21531	41549
512	21573	41506
513	21621	41476
514	21671	41448
515	21717	41415
516	21755	41365
517	21788	41306
518	21820	41243
519	21852	41183
520	21886	41126
521	21922	41073
522	21961	41025
523	21988	40956
524	22023	40900
525	22061	40851
526	22089	40783
527	22120	40722
528	22153	40662
529	22186	40605
530	22353	40791
531	22396	40752
532	22437	40707
533	22479	40664
534	22548	40671
535	22601	40649
536	22693	40695
537	22780	40733
538	22818	40684
539	22860	40640
540	22891	40578
541	23034	40714
542	23116	40741
543	23190	40753
544	23288	40808
545	23378	40848
546	23428	40818
547	23474	40780
548	23504	40716
549	23536	40653
550	23564	40585
551	23594	40520
552	23631	40469
553	23674	40426
554	23711	40373
555	23776	40369
556	23815	40320
557	23855	40272
558	23891	40217
559	23928	40165
560	23966	40115
561	24009	40072
562	24041	40012
563	24077	39958
564	24108	39895
565	24142	39838
566	24171	39773
567	24203	39714
568	24236	39655
569	24267	39594
570	24308	39548
571	24361	39522
572	24405	39483
573	24466	39471
574	24514	39436
575	24595	39454
576	24701	39513
577	24753	39484
578	24795	39441
579	24834	39392
580	24881	39356
581	24933	39328
582	24974	39281
583	25013	39233
584	25050	39181
585	25082	39121
586	25123	39076
587	25159	39022
588	25188	38959
589	25216	38893
590	25249	38834
591	25288	38786
592	25324	38734
593	25362	38684
594	25399	38633
595	25437	38582
596	25474	38532
597	25513	38483
598	25558	38444
599	25609	38414
600	25651	38370
601	25686	38316
602	25725	38268
603	25759	38212
604	25793	38157
605	25824	38097
606	25858	38042
607	25905	38005
608	25953	37971
609	26007	37945
610	26177	38087
611	26273	38121
612	26308	38068
613	26520	38268
614	26743	38484
615	26791	38447
616	26836	38405
617	26885	38370
618	26947	38354
619	26997	38318
620	27039	38273
621	27084	38231
622	27130	38191
623	27170	38143
624	27217	38103
625	27255	38053
626	27302	38014
627	27340	37962
628	27385	37921
629	27433	37884
630	27471	37833
631	27517	37792
632	27555	37741
633	27597	37696
634	27636	37646
635	27682	37606
636	27720	37555
637	27763	37511
638	27804	37464
639	27850	37423
640	27886	37370
641	27930	37327
642	27968	37276
643	28013	37235
644	28050	37183
645	28091	37135
646	28129	37086
647	28167	37035
648	28209	36989
649	28252	36944
650	28291	36896
651	28328	36844
652	28372	36801
653	28413	36755
654	28456	36710
655	28493	36659
656	28544	36625
657	28595	36592
658	28659	36574
659	28726	36560
660	28791	36544
661	28841	36509
662	28892	36474
663	28949	36448
664	28993	36404
665	29074	36408
666	29141	36393
667	29190	36357
668	29237	36317
669	29279	36271
670	29318	36222
671	29356	36171
672	29404	36132
673	29452	36094
674	29489	36043
675	29530	35996
676	29679	36080
677	29735	36051
678	29801	36034
679	29865	36013
680	29921	35985
681	29983	35962
682	30037	35930
683	30096	35904
684	30154	35877
685	30269	35917
686	30401	35977
687	30494	35990
688	30569	35981
689	30650	35980
690	30753	36004
691	30819	35985
692	30864	35941
693	30901	35888
694	30940	35837
695	31130	35960
696	31215	35963
697	31281	35942
698	31339	35912
699	31383	35867
700	31439	35834
701	31483	35788
702	31527	35743
703	31564	35689
704	31601	35636
705	31645	35589
706	31689	35543
707	31729	35494
708	31773	35448
709	31824	35410
710	31867	35363
711	31905	35311
712	31952	35269
713	32000	35227
714	32040	35176
715	32077	35123
716	32138	35097
717	32188	35057
718	32238	35018
719	32284	34974
720	32331	34932
721	32370	34880
722	32416	34837
723	32464	34795
724	32501	34743
725	32551	34704
726	32590	34652
727	32630	34602
728	32674	34556
729	32720	34512
730	32767	34470
731	32817	34431
732	32853	34377
733	32894	34329
734	32934	34278
735	32987	34241
736	33032	34197
737	33070	34145
738	33114	34100
739	33152	34048
740	33193	34000
741	33232	33948
742	33276	33903
743	33314	33852
744	33359	33807
745	33403	33761
746	33445	33714
747	33483	33662
748	33525	33615
749	33564	33564
750	33600	33511
751	33644	33465
752	33687	33418
753	33728	33370
754	33765	33318
755	33812	33275
756	33855	33229
757	33892	33177
758	33945	33140
759	33992	33097
760	34031	33047
761	34065	32992
762	34106	32943
763	34142	32890
764	34178	32837
765	34215	32786
766	34252	32734
767	34329	32720
768	34387	32688
769	34425	32636
770	34459	32582
771	34495	32529
772	34537	32481
773	34574	32430
774	34619	32386
775	34658	32336
776	34696	32285
777	34730	32230
778	34770	32182
779	34816	32137
780	34853	32086
781	34891	32036
782	34928	31984
783	34966	31934
784	35003	31881
785	35050	31839
786	35087	31788
787	35123	31736
788	35163	31687
789	35203	31638
790	35237	31584
791	35271	31530
792	35313	31483
793	35349	31431
794	35390	31384
795	35434	31339
796	35482	31297
797	35519	31246
798	35554	31194
799	35591	31142
800	35631	31093
801	35666	31041
802	35704	30991
803	35749	30947
804	35785	30895
805	35821	30843
806	35869	30802
807	35905	30750
808	35949	30705
809	35986	30655
810	36031	30610
811	36066	30558
812	36109	30513
813	36148	30464
814	36213	30437
815	36264	30397
816	36333	30373
817	36382	30333
818	36423	30285
819	36462	30237
820	36499	30186
821	36537	30136
822	36573	30085
823	36609	30034
824	36644	29982
825	36680	29930
826	36722	29884
827	36763	29836
828	36807	29792
829	36844	29741
830	36893	29701
831	36934	29654
832	36971	29603
833	37006	29551
834	37041	29500
835	37105	29471
836	37174	29446
837	37241	29419
838	37307	29392
839	37374	29365
840	37444	29341
841	37857	29584
842	37983	29603
843	38027	29556
844	38073	29512
845	38110	29461
846	38150	29412
847	38186	29360
848	38241	29323
849	38290	29280
850	38326	29228
851	38367	29181
852	38404	29129
853	38441	29078
854	38476	29026
855	38516	28977
856	38555	28927
857	38595	28879
858	38632	28828
859	38680	28785
860	38717	28734
861	38761	28688
862	38797	28637
863	38832	28585
864	38870	28535
865	38919	28493
866	38967	28450
867	39003	28398
868	39043	28350
869	39083	28301
870	39122	28252
871	39163	28204
872	39210	28161
873	39265	28123
874	39316	28083
875	39354	28033
876	39403	27991
877	39452	27949
878	39499	27905
879	39569	27878
