ID,Total_nacional,Comunidades_ciudades_autonomas,Provincias,Tipo_turista,Turistas_totales,Año,Mes,Temporada,Outliers_zscore
-7589974299805897658,No aplica,Andalucía,Almería,Viajero,42163.0,2025,9,Otoño,False
877920206415319197,No aplica,Andalucía,Almería,Viajero,45998.0,2025,8,Verano,False
3831549788705876479,No aplica,Andalucía,Almería,Viajero,44268.0,2025,7,Verano,False
7171031517195358827,No aplica,Andalucía,Almería,Viajero,36043.0,2025,6,Verano,False
7662224602593844919,No aplica,Andalucía,Almería,Viajero,32422.0,2025,5,Primavera,False
-1860352761744376032,No aplica,Andalucía,Almería,Viajero,27097.0,2025,4,Primavera,False
-7478959397981991589,No aplica,Andalucía,Almería,Viajero,16484.0,2025,3,Primavera,False
6540895510134481168,No aplica,Andalucía,Almería,Viajero,12805.0,2025,2,Invierno,False
9032060957383203812,No aplica,Andalucía,Almería,Viajero,10790.0,2025,1,Invierno,False
-1587315991665936845,No aplica,Andalucía,Almería,Viajero,13619.0,2024,12,Invierno,False
6490931761521303890,No aplica,Andalucía,Almería,Viajero,13987.0,2024,11,Otoño,False
-5045415770153706550,No aplica,Andalucía,Almería,Viajero,31183.0,2024,10,Otoño,False
-7148651159735200747,No aplica,Andalucía,Almería,Viajero,43074.0,2024,9,Otoño,False
-1545423443192128376,No aplica,Andalucía,Almería,Viajero,46521.0,2024,8,Verano,False
-5996399788328035955,No aplica,Andalucía,Almería,Viajero,45070.0,2024,7,Verano,False
7030342207973183850,No aplica,Andalucía,Almería,Viajero,36583.0,2024,6,Verano,False
-4523712704031400855,No aplica,Andalucía,Almería,Viajero,36378.0,2024,5,Primavera,False
4428261751634452998,No aplica,Andalucía,Almería,Viajero,22167.0,2024,4,Primavera,False
470876000126306754,No aplica,Andalucía,Almería,Viajero,18910.0,2024,3,Primavera,False
-5218794158405506111,No aplica,Andalucía,Almería,Viajero,15721.0,2024,2,Invierno,False
-2293423606524562738,No aplica,Andalucía,Almería,Viajero,11580.0,2024,1,Invierno,False
-3947816804300979572,No aplica,Andalucía,Almería,Viajero,12125.0,2023,12,Invierno,False
-9031097724096868409,No aplica,Andalucía,Almería,Viajero,13589.0,2023,11,Otoño,False
274896598376902980,No aplica,Andalucía,Almería,Viajero,28369.0,2023,10,Otoño,False
6695237969378095455,No aplica,Andalucía,Almería,Viajero,40404.0,2023,9,Otoño,False
4775397328010074892,No aplica,Andalucía,Almería,Viajero,42708.0,2023,8,Verano,False
8369350181882888814,No aplica,Andalucía,Almería,Viajero,42142.0,2023,7,Verano,False
-8428798228844334893,No aplica,Andalucía,Almería,Viajero,32878.0,2023,6,Verano,False
-6140910340677242105,No aplica,Andalucía,Almería,Viajero,30830.0,2023,5,Primavera,False
-3009601585155650806,No aplica,Andalucía,Almería,Viajero,20799.0,2023,4,Primavera,False
-3995842128020900183,No aplica,Andalucía,Almería,Viajero,14950.0,2023,3,Primavera,False
-3021806302589299888,No aplica,Andalucía,Almería,Viajero,11510.0,2023,2,Invierno,False
8866149682855483147,No aplica,Andalucía,Almería,Viajero,11329.0,2023,1,Invierno,False
-1796668652553641378,No aplica,Andalucía,Almería,Viajero,10226.0,2022,12,Invierno,False
6053692974514005201,No aplica,Andalucía,Almería,Viajero,12693.0,2022,11,Otoño,False
3895453614932689087,No aplica,Andalucía,Almería,Viajero,26150.0,2022,10,Otoño,False
6244111440024446078,No aplica,Andalucía,Almería,Viajero,34974.0,2022,9,Otoño,False
1717738075381028293,No aplica,Andalucía,Almería,Viajero,41392.0,2022,8,Verano,False
-2542382510770722747,No aplica,Andalucía,Almería,Viajero,39566.0,2022,7,Verano,False
-7525961630887347008,No aplica,Andalucía,Almería,Viajero,32084.0,2022,6,Verano,False
2539792122643977195,No aplica,Andalucía,Almería,Viajero,28431.0,2022,5,Primavera,False
-5202917253119347883,No aplica,Andalucía,Almería,Viajero,19025.0,2022,4,Primavera,False
5199588773308993587,No aplica,Andalucía,Almería,Viajero,13274.0,2022,3,Primavera,False
-5229691548877705753,No aplica,Andalucía,Almería,Viajero,10284.0,2022,2,Invierno,False
3030692400049238961,No aplica,Andalucía,Almería,Viajero,9007.0,2022,1,Invierno,False
5601796020555684370,No aplica,Andalucía,Almería,Viajero,9503.0,2021,12,Invierno,False
3587344832973689417,No aplica,Andalucía,Almería,Viajero,10937.0,2021,11,Otoño,False
6202298013999042021,No aplica,Andalucía,Almería,Viajero,21944.0,2021,10,Otoño,False
-3924819133676389944,No aplica,Andalucía,Almería,Viajero,26258.0,2021,9,Otoño,False
-7448953030739006979,No aplica,Andalucía,Almería,Viajero,20009.0,2021,8,Verano,False
-9149433657769488277,No aplica,Andalucía,Almería,Viajero,16631.0,2021,7,Verano,False
-2053097164564184302,No aplica,Andalucía,Almería,Viajero,10941.0,2021,6,Verano,False
-4690097398840484686,No aplica,Andalucía,Almería,Viajero,5832.0,2021,5,Primavera,False
6254854199991180179,No aplica,Andalucía,Almería,Viajero,3440.0,2021,4,Primavera,False
-3719877515063816384,No aplica,Andalucía,Almería,Viajero,2777.0,2021,3,Primavera,False
3529184360471836941,No aplica,Andalucía,Almería,Viajero,1767.0,2021,2,Invierno,False
-4396907177234755223,No aplica,Andalucía,Almería,Viajero,2627.0,2021,1,Invierno,False
4556369372954043526,No aplica,Andalucía,Almería,Viajero,2219.0,2020,12,Invierno,False
-8339878415567914512,No aplica,Andalucía,Almería,Viajero,2678.0,2020,11,Otoño,False
-1073296194682667225,No aplica,Andalucía,Almería,Viajero,6170.0,2020,10,Otoño,False
-607538999119890595,No aplica,Andalucía,Almería,Viajero,8239.0,2020,9,Otoño,False
-4194395650372079261,No aplica,Andalucía,Almería,Viajero,10512.0,2020,8,Verano,False
-9018708382837543279,No aplica,Andalucía,Almería,Viajero,8907.0,2020,7,Verano,False
-8350035807122479422,No aplica,Andalucía,Almería,Viajero,2973.0,2020,6,Verano,False
-8135927368419853711,No aplica,Andalucía,Almería,Viajero,77.0,2020,5,Primavera,False
3505559614591317953,No aplica,Andalucía,Almería,Viajero,0.0,2020,4,Primavera,False
7764007957263863498,No aplica,Andalucía,Almería,Viajero,7936.0,2020,3,Primavera,False
-2183904736358761958,No aplica,Andalucía,Almería,Viajero,14311.0,2020,2,Invierno,False
8484588982436531647,No aplica,Andalucía,Almería,Viajero,11505.0,2020,1,Invierno,False
1517995993878569136,No aplica,Andalucía,Almería,Viajero,10164.0,2019,12,Invierno,False
1417172577425136238,No aplica,Andalucía,Almería,Viajero,14050.0,2019,11,Otoño,False
-39222859499478339,No aplica,Andalucía,Almería,Viajero,30542.0,2019,10,Otoño,False
7078179074948948417,No aplica,Andalucía,Almería,Viajero,44213.0,2019,9,Otoño,False
6565816976473610028,No aplica,Andalucía,Almería,Viajero,51605.0,2019,8,Verano,False
