Provincias,Año,Mes,Turistas_totales,Turistas_pasados,lag_estacional,lag_1,lag_2,lag_3,lag_4,log_ratio,log_lag_1,log_lag_2,log_lag_3,log_lag_4,log_lag_estacional,media_lag_2,media_lag_3,tendencia_corta
A Coruña,2026,6,,89110.0,114384.0,89110.0,86281.0,114384.0,94202.0,,11.397638062628861,11.365376280577502,11.647325230449884,11.453207307191104,11.647325230449884,11.381507171603182,11.470113191218749,0.03226178205135888
A Coruña,2026,7,,,86281.0,,89110.0,86281.0,114384.0,,,11.397638062628861,11.365376280577502,11.647325230449884,11.365376280577502,,,
A Coruña,2026,8,,,89110.0,,,89110.0,86281.0,,,,11.397638062628861,11.365376280577502,11.397638062628861,,,
Albacete,2026,6,,4618.0,4138.0,4618.0,4750.0,4138.0,4375.0,,8.437933510430605,8.46611040118692,8.328209491748732,8.383890344101816,8.328209491748732,8.452021955808764,8.410751134455419,-0.02817689075631513
Albacete,2026,7,,,4750.0,,4618.0,4750.0,4138.0,,,8.437933510430605,8.46611040118692,8.328209491748732,8.46611040118692,,,
Albacete,2026,8,,,4618.0,,,4618.0,4750.0,,,,8.437933510430605,8.46611040118692,8.437933510430605,,,
Alicante/Alacant,2026,6,,289539.0,259188.0,289539.0,278318.0,259188.0,263329.0,,12.576048735708035,12.536523216832878,12.465312804288123,12.48116327746713,12.465312804288123,12.556285976270456,12.525961585609679,0.03952551887515732
Alicante/Alacant,2026,7,,,278318.0,,289539.0,278318.0,259188.0,,,12.576048735708035,12.536523216832878,12.465312804288123,12.536523216832878,,,
Alicante/Alacant,2026,8,,,289539.0,,,289539.0,278318.0,,,,12.576048735708035,12.536523216832878,12.576048735708035,,,
Almería,2026,6,,45998.0,36043.0,45998.0,44268.0,36043.0,46521.0,,10.736374936104498,10.698039936810567,10.492495693354927,10.747680597969852,10.492495693354927,10.717207436457532,10.642303522089996,0.038334999293931915
Almería,2026,7,,,44268.0,,45998.0,44268.0,36043.0,,,10.736374936104498,10.698039936810567,10.492495693354927,10.698039936810567,,,
Almería,2026,8,,,45998.0,,,45998.0,44268.0,,,,10.736374936104498,10.698039936810567,10.736374936104498,,,
Araba/Álava,2026,6,,22999.0,14839.0,22999.0,22066.0,14839.0,22835.0,,10.043249494911286,10.001838558883081,9.605081516721372,10.036093517084149,9.605081516721372,10.022544026897183,9.883389856838578,0.041410936028205114
Araba/Álava,2026,7,,,22066.0,,22999.0,22066.0,14839.0,,,10.043249494911286,10.001838558883081,9.605081516721372,10.001838558883081,,,
Araba/Álava,2026,8,,,22999.0,,,22999.0,22066.0,,,,10.043249494911286,10.001838558883081,10.043249494911286,,,
Asturias,2026,6,,58213.0,56525.0,58213.0,51669.0,56525.0,56818.0,,10.971881154620236,10.85263262128123,10.942455988276723,10.947626055816489,10.942455988276723,10.912256887950733,10.922323254726061,0.11924853333900565
Asturias,2026,7,,,51669.0,,58213.0,51669.0,56525.0,,,10.971881154620236,10.85263262128123,10.942455988276723,10.85263262128123,,,
Asturias,2026,8,,,58213.0,,,58213.0,51669.0,,,,10.971881154620236,10.85263262128123,10.971881154620236,,,
Badajoz,2026,6,,24249.0,16320.0,24249.0,16247.0,16320.0,23285.0,,10.096171896365629,9.695725103260221,9.700207901150696,10.05560760059696,9.700207901150696,9.895948499812924,9.830701633592183,0.40044679310540765
Badajoz,2026,7,,,16247.0,,24249.0,16247.0,16320.0,,,10.096171896365629,9.695725103260221,9.700207901150696,9.695725103260221,,,
Badajoz,2026,8,,,24249.0,,,24249.0,16247.0,,,,10.096171896365629,9.695725103260221,10.096171896365629,,,
Barcelona,2026,6,,1131857.0,1027456.0,1131857.0,1087151.0,1027456.0,1077848.0,,13.939371088180685,13.89907199073405,13.842597375328408,13.890477946428268,13.842597375328408,13.919221539457368,13.893680151414381,0.040299097446634846
Barcelona,2026,7,,,1087151.0,,1131857.0,1087151.0,1027456.0,,,13.939371088180685,13.89907199073405,13.842597375328408,13.89907199073405,,,
Barcelona,2026,8,,,1131857.0,,,1131857.0,1087151.0,,,,13.939371088180685,13.89907199073405,13.939371088180685,,,
Bizkaia,2026,6,,109494.0,83026.0,109494.0,99720.0,83026.0,106572.0,,11.603634165095691,11.510131565665834,11.32692113508459,11.576585475330184,11.32692113508459,11.556882865380762,11.480228955282039,0.09350259942985772
Bizkaia,2026,7,,,99720.0,,109494.0,99720.0,83026.0,,,11.603634165095691,11.510131565665834,11.32692113508459,11.510131565665834,,,
Bizkaia,2026,8,,,109494.0,,,109494.0,99720.0,,,,11.603634165095691,11.510131565665834,11.603634165095691,,,
Burgos,2026,6,,55390.0,35202.0,55390.0,50524.0,35202.0,49938.0,,10.922172404664506,10.830223542271822,10.468886585227278,10.818557539604447,10.468886585227278,10.876197973468164,10.740427510721203,0.09194886239268385
Burgos,2026,7,,,50524.0,,55390.0,50524.0,35202.0,,,10.922172404664506,10.830223542271822,10.468886585227278,10.830223542271822,,,
Burgos,2026,8,,,55390.0,,,55390.0,50524.0,,,,10.922172404664506,10.830223542271822,10.922172404664506,,,
Cantabria,2026,6,,41331.0,42871.0,41331.0,43714.0,42871.0,45826.0,,10.629392297334245,10.68544657161499,10.665974211174687,10.732628716054485,10.665974211174687,10.657419434474619,10.660271026707974,-0.056054274280745275
Cantabria,2026,7,,,43714.0,,41331.0,43714.0,42871.0,,,10.629392297334245,10.68544657161499,10.665974211174687,10.68544657161499,,,
Cantabria,2026,8,,,41331.0,,,41331.0,43714.0,,,,10.629392297334245,10.68544657161499,10.629392297334245,,,
Castellón/Castelló,2026,6,,30852.0,22420.0,30852.0,23843.0,22420.0,31615.0,,10.336989269338149,10.079287892339817,10.017753298664472,10.361418600547594,10.017753298664472,10.208138580838984,10.144676820114148,0.25770137699833207
Castellón/Castelló,2026,7,,,23843.0,,30852.0,23843.0,22420.0,,,10.336989269338149,10.079287892339817,10.017753298664472,10.079287892339817,,,
Castellón/Castelló,2026,8,,,30852.0,,,30852.0,23843.0,,,,10.336989269338149,10.079287892339817,10.336989269338149,,,
Ceuta,2026,6,,3125.0,2101.0,3125.0,2363.0,2101.0,4291.0,,8.047509510981422,7.768110378525988,7.650644551436897,8.36450810375059,7.650644551436897,7.907809944753705,7.822088146981436,0.2793991324554339
Ceuta,2026,7,,,2363.0,,3125.0,2363.0,2101.0,,,8.047509510981422,7.768110378525988,7.650644551436897,7.768110378525988,,,
Ceuta,2026,8,,,3125.0,,,3125.0,2363.0,,,,8.047509510981422,7.768110378525988,8.047509510981422,,,
Ciudad Real,2026,6,,6886.0,5218.0,6886.0,5889.0,5218.0,6459.0,,8.837390855544697,8.681011276645632,8.560061091643414,8.773384596776648,8.560061091643414,8.759201066095166,8.692821074611247,0.15637957889906495
Ciudad Real,2026,7,,,5889.0,,6886.0,5889.0,5218.0,,,8.837390855544697,8.681011276645632,8.560061091643414,8.681011276645632,,,
Ciudad Real,2026,8,,,6886.0,,,6886.0,5889.0,,,,8.837390855544697,8.681011276645632,8.837390855544697,,,
Cuenca,2026,6,,3243.0,3766.0,3243.0,3011.0,3766.0,3171.0,,8.084562415235304,8.010359588919783,8.23403420769204,8.06211758275474,8.23403420769204,8.047461002077544,8.10965207061571,0.07420282631552055
Cuenca,2026,7,,,3011.0,,3243.0,3011.0,3766.0,,,8.084562415235304,8.010359588919783,8.23403420769204,8.010359588919783,,,
Cuenca,2026,8,,,3243.0,,,3243.0,3011.0,,,,8.084562415235304,8.010359588919783,8.084562415235304,,,
Cáceres,2026,6,,11495.0,9925.0,11495.0,10122.0,9925.0,12058.0,,9.34975442775886,9.222565341598752,9.202912856147385,9.397566548103592,9.202912856147385,9.286159884678806,9.258410875168332,0.12718908616010793
Cáceres,2026,7,,,10122.0,,11495.0,10122.0,9925.0,,,9.34975442775886,9.222565341598752,9.202912856147385,9.222565341598752,,,
