Provincias,Año,Mes,Turistas_totales,Turistas_pasados,lag_estacional,lag_1,lag_2,lag_3,lag_4,log_ratio,log_lag_1,log_lag_2,log_lag_3,log_lag_4,log_lag_estacional,media_lag_2,media_lag_3,tendencia_corta
A Coruña,2018,6,81602.0,92013.0,100977.0,92013.0,84469.0,100977.0,100661.0,-0.12007609994072332,11.429696018366945,11.344151720721543,11.522657950314608,11.519523648998456,11.522657950314608,11.386923869544244,11.432168563134367,0.08554429764540217
A Coruña,2018,7,67530.0,81602.0,84469.0,81602.0,92013.0,84469.0,100977.0,-0.1892818278868731,11.309621304982276,11.429696018366945,11.344151720721543,11.522657950314608,11.344151720721543,11.36965866167461,11.361156348023586,-0.12007471338466935
A Coruña,2018,8,83274.0,67530.0,92013.0,67530.0,81602.0,92013.0,84469.0,0.20956443201500718,11.120342030692624,11.309621304982276,11.429696018366945,11.344151720721543,11.429696018366945,11.21498166783745,11.286553118013948,-0.1892792742896514
A Coruña,2019,6,85363.0,83274.0,81602.0,83274.0,67530.0,81602.0,92013.0,0.02477637604126315,11.32990366306188,11.120342030692624,11.309621304982276,11.429696018366945,11.309621304982276,11.225122846877252,11.253288999578928,0.2095616323692564
A Coruña,2019,7,66236.0,85363.0,67530.0,85363.0,83274.0,67530.0,81602.0,-0.25368862986278273,11.354679745233861,11.32990366306188,11.120342030692624,11.309621304982276,11.120342030692624,11.342291704147872,11.26830847966279,0.024776082171980462
A Coruña,2019,8,75809.0,66236.0,83274.0,66236.0,85363.0,83274.0,67530.0,0.13499289732905773,11.100994498178453,11.354679745233861,11.32990366306188,11.120342030692624,11.32990366306188,11.227837121706157,11.261859302158065,-0.25368524705540807
A Coruña,2022,6,94573.0,38091.0,17566.0,38091.0,31093.0,17566.0,17248.0,0.9093939893020817,10.547759565313937,10.344770153509685,9.773777421013383,9.755509449764629,9.773777421013383,10.446264859411812,10.22210237994567,0.20298941180425167
A Coruña,2022,7,82142.0,94573.0,31093.0,94573.0,38091.0,31093.0,17566.0,-0.14092256615285947,11.457137875826508,10.547759565313937,10.344770153509685,9.773777421013383,10.344770153509685,11.002448720570221,10.783222531550043,0.9093783105125706
A Coruña,2022,8,80681.0,82142.0,38091.0,82142.0,94573.0,38091.0,31093.0,-0.017946349250275162,11.316216909853097,11.457137875826508,10.547759565313937,10.344770153509685,10.547759565313937,11.386677392839802,11.107038116997847,-0.14092096597341097
A Coruña,2023,6,105707.0,80681.0,94573.0,80681.0,82142.0,94573.0,38091.0,0.27016800819425413,11.298270781051926,11.316216909853097,11.457137875826508,10.547759565313937,11.457137875826508,11.307243845452511,11.357208522243843,-0.017946128801170858
A Coruña,2023,7,81785.0,105707.0,82142.0,105707.0,80681.0,82142.0,94573.0,-0.2565772631384764,11.568435854897796,11.298270781051926,11.316216909853097,11.457137875826508,11.316216909853097,11.433353317974861,11.39430784860094,0.2701650738458703
A Coruña,2023,8,91598.0,81785.0,80681.0,81785.0,105707.0,80681.0,82142.0,0.11331558467009373,11.311861358798899,11.568435854897796,11.298270781051926,11.316216909853097,11.298270781051926,11.440148606848346,11.392855998249539,-0.2565744960988976
A Coruña,2024,6,109641.0,91598.0,105707.0,91598.0,81785.0,105707.0,80681.0,0.17980195477125704,11.425175633572064,11.311861358798899,11.568435854897796,11.298270781051926,11.568435854897796,11.36851849618548,11.435157615756253,0.11331427477316502
A Coruña,2024,7,85487.0,109641.0,81785.0,109641.0,91598.0,81785.0,105707.0,-0.24884707455303356,11.604975791768043,11.425175633572064,11.311861358798899,11.568435854897796,11.311861358798899,11.515075712670054,11.447337594713003,0.17980015819597917
A Coruña,2024,8,94202.0,85487.0,91598.0,85487.0,109641.0,91598.0,81785.0,0.09707709518063368,11.356131294197553,11.604975791768043,11.425175633572064,11.311861358798899,11.425175633572064,11.480553542982797,11.462094239845888,-0.24884449757048976
Albacete,2018,6,2766.0,2793.0,2719.0,2793.0,3005.0,2719.0,2483.0,-0.00971405372047407,7.935229539816907,8.00836557031292,7.908387159290043,7.81762544305337,7.908387159290043,7.971797555064914,7.95066075647329,-0.0731360304960127
Albacete,2018,7,2769.0,2766.0,3005.0,2766.0,2793.0,3005.0,2719.0,0.0010840109462586511,7.925518979786926,7.935229539816907,8.00836557031292,7.908387159290043,8.00836557031292,7.9303742598019165,7.956371363305585,-0.009710560029981607
Albacete,2018,8,2840.0,2769.0,2793.0,2769.0,2766.0,2793.0,3005.0,0.025317807984290397,7.926602599181384,7.925518979786926,7.935229539816907,8.00836557031292,7.935229539816907,7.926060789484155,7.929117039595073,0.001083619394458779
Albacete,2019,6,3372.0,2840.0,2766.0,2840.0,2769.0,2766.0,2793.0,0.17170198796649316,7.951911381854188,7.926602599181384,7.925518979786926,7.935229539816907,7.925518979786926,7.939256990517786,7.9346776536074985,0.025308782672803787
Albacete,2019,7,3599.0,3372.0,2769.0,3372.0,2840.0,2769.0,2766.0,0.06514998895728574,8.12355783506165,7.951911381854188,7.926602599181384,7.925518979786926,7.926602599181384,8.037734608457919,8.00069060536574,0.17164645320746175
Albacete,2019,8,3343.0,3599.0,2840.0,3599.0,3372.0,2840.0,2769.0,-0.07378742165893293,8.1886891244442,8.12355783506165,7.951911381854188,7.926602599181384,7.951911381854188,8.156123479752925,8.088052780453346,0.06513128938255086
