Provincias,Año,Mes,Turistas_totales,Turistas_pasados,lag_estacional,lag_1,lag_2,lag_3,lag_4,log_ratio,log_lag_1,log_lag_2,log_lag_3,log_lag_4,log_lag_estacional,media_lag_2,media_lag_3,tendencia_corta
A Coruña,1999,5,20009.0,,,,,,,,,,,,,,,
A Coruña,1999,6,26502.0,20009.0,,20009.0,,,,0.281038029508089,9.903987427577778,,,,,,,
A Coruña,1999,7,29981.0,26502.0,,26502.0,20009.0,,,0.12334364584610213,10.185013213113992,9.903987427577778,,,,10.044500320345886,,0.2810257855362135
A Coruña,1999,8,34504.0,29981.0,,29981.0,26502.0,20009.0,,0.14051141165699477,10.30835248057226,10.185013213113992,9.903987427577778,,,10.246682846843125,10.132451040421342,0.12333926745826851
A Coruña,2000,5,23734.0,34504.0,20009.0,34504.0,29981.0,26502.0,20009.0,-0.3741666401025938,10.448859520054702,10.30835248057226,10.185013213113992,9.903987427577778,9.903987427577778,10.378606000313482,10.314075071246984,0.1405070394824417
A Coruña,2000,6,23406.0,23734.0,26502.0,23734.0,34504.0,29981.0,26502.0,-0.013916219490372583,10.074706030985418,10.448859520054702,10.30835248057226,10.185013213113992,10.185013213113992,10.26178277552006,10.27730601053746,-0.37415348906928436
A Coruña,2000,7,34173.0,23406.0,29981.0,23406.0,23734.0,34504.0,29981.0,0.3784434588333099,10.060790401909905,10.074706030985418,10.448859520054702,10.30835248057226,10.30835248057226,10.067748216447661,10.194785317650009,-0.01391562907551247
A Coruña,2000,8,41807.0,34173.0,34504.0,34173.0,23406.0,23734.0,34504.0,0.20162793103910914,10.43922040000822,10.060790401909905,10.074706030985418,10.448859520054702,10.448859520054702,10.250005400959061,10.191572277634513,0.3784299980983139
A Coruña,2001,5,22710.0,41807.0,23734.0,41807.0,34173.0,23406.0,23734.0,-0.6102584335075267,10.640842987760394,10.43922040000822,10.060790401909905,10.074706030985418,10.074706030985418,10.540031693884305,10.380284596559505,0.20162258775217445
A Coruña,2001,6,26662.0,22710.0,23406.0,22710.0,41807.0,34173.0,23406.0,0.1604339745740173,10.030604667595593,10.640842987760394,10.43922040000822,10.060790401909905,10.060790401909905,10.335723827677993,10.370222685121403,-0.6102383201648003
A Coruña,2001,7,32838.0,26662.0,34173.0,26662.0,22710.0,41807.0,34173.0,0.20834705069835202,10.191032115533917,10.030604667595593,10.640842987760394,10.43922040000822,10.43922040000822,10.110818391564756,10.287493256963302,0.1604274479383232
