Provincias,Año,Mes,Turistas_totales
A Coruña,1999,1,4292.0
A Coruña,1999,2,5241.0
A Coruña,1999,3,8533.0
A Coruña,1999,4,20900.0
A Coruña,1999,5,20009.0
A Coruña,1999,6,26502.0
A Coruña,1999,7,29981.0
A Coruña,1999,8,34504.0
A Coruña,1999,9,35897.0
A Coruña,1999,10,20201.0
A Coruña,1999,11,9371.0
A Coruña,1999,12,8380.0
A Coruña,2000,1,4530.0
A Coruña,2000,2,5252.0
A Coruña,2000,3,10127.0
A Coruña,2000,4,17391.0
A Coruña,2000,5,23734.0
A Coruña,2000,6,23406.0
A Coruña,2000,7,34173.0
A Coruña,2000,8,41807.0
A Coruña,2000,9,35208.0
A Coruña,2000,10,24508.0
A Coruña,2000,11,11283.0
A Coruña,2000,12,12124.0
A Coruña,2001,1,4912.0
A Coruña,2001,2,13683.0
A Coruña,2001,3,15435.0
A Coruña,2001,4,20740.0
A Coruña,2001,5,22710.0
A Coruña,2001,6,26662.0
A Coruña,2001,7,32838.0
A Coruña,2001,8,39131.0
A Coruña,2001,9,25441.0
A Coruña,2001,10,19882.0
A Coruña,2001,11,10666.0
A Coruña,2001,12,8390.0
A Coruña,2002,1,4598.0
A Coruña,2002,2,7340.0
A Coruña,2002,3,12015.0
A Coruña,2002,4,23155.0
A Coruña,2002,5,28278.0
A Coruña,2002,6,28773.0
A Coruña,2002,7,32133.0
A Coruña,2002,8,46825.0
A Coruña,2002,9,34886.0
A Coruña,2002,10,23035.0
A Coruña,2002,11,11595.0
A Coruña,2002,12,9069.0
A Coruña,2003,1,7475.0
A Coruña,2003,2,7559.0
A Coruña,2003,3,13801.0
A Coruña,2003,4,26615.0
A Coruña,2003,5,34058.0
A Coruña,2003,6,36625.0
A Coruña,2003,7,35302.0
A Coruña,2003,8,50953.0
A Coruña,2003,9,41507.0
A Coruña,2003,10,27739.0
A Coruña,2003,11,14517.0
A Coruña,2003,12,10536.0
A Coruña,2004,1,8140.0
A Coruña,2004,2,12620.0
A Coruña,2004,3,13612.0
A Coruña,2004,4,22944.0
A Coruña,2004,5,36958.0
A Coruña,2004,6,32715.0
A Coruña,2004,7,40787.0
A Coruña,2004,8,47853.0
A Coruña,2004,9,44526.0
A Coruña,2004,10,32739.0
A Coruña,2004,11,15475.0
A Coruña,2004,12,11003.0
A Coruña,2005,1,8992.0
A Coruña,2005,2,10508.0
A Coruña,2005,3,15484.0
A Coruña,2005,4,26529.0
A Coruña,2005,5,36436.0
A Coruña,2005,6,38887.0
A Coruña,2005,7,42885.0
A Coruña,2005,8,51505.0
A Coruña,2005,9,42293.0
A Coruña,2005,10,33779.0
A Coruña,2005,11,16288.0
A Coruña,2005,12,13487.0
A Coruña,2006,1,12006.0
A Coruña,2006,2,13091.0
A Coruña,2006,3,14876.0
A Coruña,2006,4,29785.0
A Coruña,2006,5,40455.0
A Coruña,2006,6,39525.0
A Coruña,2006,7,43003.0
A Coruña,2006,8,49654.0
A Coruña,2006,9,41307.0
A Coruña,2006,10,33463.0
