iter	RMSE
0	0.1986456101
1	0.1970785257
2	0.1956142735
3	0.1942562447
4	0.1928673591
5	0.1915031905
6	0.1900334616
7	0.1888526891
8	0.1873514379
9	0.1859287523
10	0.1847720828
11	0.1836388459
12	0.1824614367
13	0.1813369385
14	0.1802212146
15	0.1791699387
16	0.1781205126
17	0.1770504275
18	0.1760425396
19	0.1751506899
20	0.1741396265
21	0.173417107
22	0.172587632
23	0.1719246399
24	0.1711559731
25	0.1704435622
26	0.1698001251
27	0.1691512945
28	0.1683365052
29	0.1676848912
30	0.1670018706
31	0.1663780921
32	0.1657852547
33	0.1652038633
34	0.1647367843
35	0.1642530869
36	0.1637074572
37	0.1632288605
38	0.1627637531
39	0.1621554404
40	0.1617363599
41	0.1615453909
42	0.1610583617
43	0.1606712648
44	0.1601079845
45	0.1596364332
46	0.1591082921
47	0.1587130135
48	0.1583769035
49	0.1579174584
50	0.1573647336
51	0.1568310989
52	0.1564111815
53	0.1560467803
54	0.1555549916
55	0.1552261473
56	0.1548348503
57	0.1545926131
58	0.1541994931
59	0.1537757383
60	0.1533173242
61	0.1529181276
62	0.1525593409
63	0.1521871057
64	0.1518099118
65	0.1516050156
66	0.1511257431
67	0.1507439138
68	0.1504662928
69	0.1501169597
70	0.1498192458
71	0.1496371131
72	0.1492705124
73	0.1491057213
74	0.1487121823
75	0.1485789095
76	0.1483425422
77	0.1480800833
78	0.1478338989
79	0.1475978839
80	0.1472758165
81	0.1471888347
82	0.1468029975
83	0.1465411815
84	0.1461965301
85	0.146078509
86	0.1458525804
87	0.1455817809
88	0.1453383988
89	0.1451447433
90	0.1449840015
91	0.1447455784
92	0.1445303726
93	0.1442378419
94	0.1439881498
95	0.1438020728
96	0.1432799064
97	0.1431182239
98	0.1429855716
99	0.1427279435
100	0.1422096215
101	0.1420099981
102	0.1417717653
103	0.1415299332
104	0.1414947174
105	0.1411813609
106	0.1409940691
107	0.1405479665
108	0.1403804103
109	0.1401300144
110	0.1400072931
111	0.1398494611
112	0.1396430896
113	0.1395348566
114	0.1393783469
115	0.1391168146
116	0.1389336063
117	0.1387409854
118	0.1384675489
119	0.1383033799
120	0.1381500174
121	0.1379012449
122	0.137657248
123	0.1374262379
124	0.1371751282
125	0.1367710315
126	0.1365831148
127	0.1364443673
128	0.1364303774
129	0.1363114697
130	0.136081775
131	0.1358918227
132	0.1357289984
133	0.1355533316
134	0.1353447721
135	0.1351162325
136	0.1348338946
137	0.1346638584
138	0.1346007698
139	0.1342522483
140	0.1341100058
141	0.1340376402
142	0.1336998155
143	0.1333354106
144	0.1331882122
145	0.1328900696
146	0.1327344287
147	0.132514583
148	0.1323899958
149	0.1322503795
150	0.1321816372
151	0.1320577312
152	0.1319081324
153	0.1318597349
154	0.1316252174
155	0.1314149942
156	0.1311092347
157	0.1308394993
158	0.1305962332
159	0.1305801955
160	0.1304118305
161	0.1303376373
162	0.1302066509
163	0.1300354715
164	0.1297613246
165	0.1295271097
166	0.1294173235
167	0.1293086301
168	0.1290759045
169	0.1288562667
170	0.1285831114
171	0.1284606691
172	0.1283379841
173	0.1283039747
174	0.1282028965
175	0.1280737668
176	0.1279626993
177	0.1277055852
178	0.1275012312
179	0.1273703335
180	0.1272166398
181	0.126994623
182	0.1268324841
183	0.1267532718
184	0.1265426272
185	0.1264083999
186	0.1261426229
187	0.125860097
188	0.1256782076
189	0.1254650038
190	0.1252666607
191	0.1251255004
192	0.1250197879
193	0.1248689193
194	0.1247640075
195	0.1245335728
196	0.1244423845
197	0.1243703554
198	0.124247568
199	0.1241791341
200	0.1240809344
201	0.1240084909
202	0.1239132544
203	0.1237724406
204	0.1237598926
205	0.1236589947
206	0.1235072357
207	0.1233783864
208	0.1232239464
209	0.1231491842
210	0.1230153766
211	0.1228420594
212	0.1227368354
213	0.1226552556
214	0.1225868909
215	0.1224188179
216	0.1223139191
217	0.1221991195
218	0.1221040234
219	0.1219713866
220	0.1218030396
221	0.1215106612
222	0.1213764889
223	0.1212676408
224	0.1211422982
225	0.1210817612
226	0.1210133575
227	0.1209165296
228	0.1208549017
229	0.1207903045
230	0.1205912017
231	0.1205150886
232	0.1204380572
233	0.1202680884
234	0.1202090302
235	0.120076042
236	0.1200166599
237	0.1198846113
238	0.1197371294
239	0.1196572173
240	0.1194858662
241	0.1194190567
242	0.1191607748
243	0.1190803841
244	0.1189990724
245	0.1189627424
246	0.1188412791
247	0.1186455242
248	0.1186107302
249	0.1182319919
250	0.118060432
251	0.1179396563
252	0.1178847186
253	0.1178431789
254	0.1176876276
255	0.117619297
256	0.1173306731
257	0.1171907532
258	0.1171032739
259	0.1170492219
260	0.1168232466
261	0.1166340384
262	0.1164091826
263	0.1162984725
264	0.1162224982
265	0.1159991211
266	0.1159373611
267	0.1158350964
268	0.1157589358
269	0.1154217901
270	0.115030539
271	0.1149225392
272	0.1147248419
273	0.1146563624
274	0.1144885486
275	0.1144093266
276	0.114298448
277	0.1142398318
278	0.1140288586
279	0.1139819694
280	0.1139400681
281	0.113873551
282	0.1138375068
283	0.1137894193
284	0.1136095444
285	0.1135845333
286	0.1135432245
287	0.1135051227
288	0.1134014425
289	0.1133013102
290	0.1132630924
291	0.1131740009
292	0.1130994846
293	0.1130450578
294	0.1130101705
295	0.1127862557
296	0.1125851254
297	0.1125142017
298	0.1124835291
299	0.1122348758
300	0.1120592686
301	0.1120220789
302	0.1119633859
303	0.1116988729
304	0.1116787585
305	0.11164308
306	0.1114479817
307	0.1113079372
308	0.1111444594
309	0.1109330592
310	0.1108998288
311	0.1108774709
312	0.1106733438
313	0.1106454266
314	0.110407201
315	0.1103841354
316	0.1103209939
317	0.1101789664
318	0.1101397684
319	0.1100337822
320	0.1099376964
321	0.1098793618
322	0.109749913
323	0.1097021129
324	0.1096123129
325	0.1095112353
326	0.1094808056
327	0.1094221137
328	0.1093589647
329	0.1093191397
330	0.1091095363
331	0.1088449388
332	0.1087385758
333	0.1087024865
334	0.1086768064
335	0.1085085178
336	0.1083530693
337	0.1081760511
338	0.1079583837
339	0.1077854949
340	0.1076718808
341	0.1076487209
342	0.107590251
343	0.1074353956
344	0.1073403241
345	0.1070952675
346	0.1069064467
347	0.1066739483
348	0.1065331234
349	0.1064868609
350	0.1062382057
351	0.106184928
352	0.1061522049
353	0.1061245256
354	0.1060787201
355	0.1058739371
356	0.1058309831
357	0.1058103921
358	0.1056976647
359	0.1056407283
360	0.1055810773
361	0.10553298
362	0.1054850572
363	0.1054218339
364	0.1053324424
365	0.1052843855
366	0.1052456762
367	0.1050177154
368	0.1049302404
369	0.1049028282
370	0.1047129125
371	0.1046894493
372	0.1045069729
373	0.1043944232
374	0.1042465131
375	0.1042050954
376	0.1040372263
377	0.1040069062
378	0.103948765
379	0.1038539413
380	0.1038166168
381	0.1037808151
382	0.1037528043
383	0.1037010347
384	0.1036764368
385	0.1036178913
386	0.1034031297
387	0.1033870314
388	0.1032286629
389	0.1031283203
390	0.1028696281
391	0.1027873146
392	0.1027068041
393	0.1024605933
394	0.102444324
395	0.1024234449
396	0.1022897113
397	0.102234406
398	0.1022135626
399	0.1021146774
400	0.1019704508
401	0.1019351299
402	0.1018236012
403	0.1017667885
404	0.1017297792
405	0.1017149241
406	0.1016823267
407	0.1015829235
408	0.1015518542
409	0.1014676936
410	0.1013028849
411	0.1011877144
412	0.1010274226
413	0.1009893994
414	0.1009034864
415	0.1008681508
416	0.1007154151
417	0.1006966109
418	0.1006489984
419	0.100594575
420	0.1004178317
421	0.100404513
422	0.1002494817
423	0.1002360896
424	0.1002194966
425	0.1002064909
426	0.1001886925
427	0.1000213174
428	0.09998272277
429	0.0998266599
430	0.09971374308
431	0.09957719196
432	0.09956279591
433	0.09946359049
434	0.09930061872
435	0.09914120686
436	0.09907276907
437	0.09898751991
438	0.09887370463
439	0.09885946563
440	0.09884232078
441	0.09880463403
442	0.09869440432
443	0.09852381623
444	0.09842248731
445	0.09820268603
446	0.09817855149
447	0.09816847166
448	0.09804644218
449	0.0978880283
450	0.09774852308
451	0.09765713356
452	0.09764637329
453	0.09761244121
454	0.09750762931
455	0.09739278548
456	0.09730237336
457	0.09720057738
458	0.09711635245
459	0.09698899435
460	0.09696041342
461	0.09687904981
462	0.09686954189
463	0.09680666556
464	0.09664520311
465	0.09661664054
466	0.09654422785
467	0.0964411823
468	0.0963559015
469	0.09624110048
470	0.09616890206
471	0.09615846194
472	0.09594927389
473	0.0958867427
474	0.09580422426
475	0.09572216766
476	0.09570923049
477	0.095600501
478	0.09550935028
479	0.09539609114
480	0.09524750745
481	0.09523487683
482	0.09507863426
483	0.0950558837
484	0.09496223917
485	0.09493028921
486	0.09477984042
487	0.09473964932
488	0.0946590366
489	0.09447963728
490	0.09440709852
491	0.09437265476
492	0.0943585929
493	0.09434616149
494	0.09424574589
495	0.09417846384
496	0.09415389566
497	0.09414266046
498	0.09407500867
499	0.09392716388
500	0.09360013315
501	0.09353864566
502	0.09346659418
503	0.09335664908
504	0.09327357354
505	0.09317349692
506	0.09304785939
507	0.09290358171
508	0.09271794312
509	0.09265973597
510	0.09253420317
511	0.09247020955
512	0.09230595897
513	0.09226201793
514	0.09215341819
515	0.09204859308
516	0.09194088022
517	0.09191617479
518	0.09185164154
519	0.09183975637
520	0.09172992507
521	0.0916578154
522	0.09158819525
523	0.09154578699
524	0.09146908634
525	0.09139013836
526	0.09130311586
527	0.09125045855
528	0.0912199871
529	0.09117068209
530	0.09107429002
531	0.09100743409
532	0.09099486596
533	0.09093269801
534	0.09091878311
535	0.09078677934
536	0.09067633495
537	0.09064692788
538	0.09063415603
539	0.09057534055
540	0.09049913135
541	0.09042583705
542	0.09040969737
543	0.0903953757
544	0.09030986079
545	0.09024209906
546	0.09012967976
547	0.09000504591
548	0.08987999691
549	0.08960588987
550	0.08959282701
551	0.08933359319
552	0.08931529663
553	0.08925857687
554	0.08918909286
555	0.08906622021
556	0.08903601335
557	0.08902250011
558	0.08895038427
559	0.08885607368
560	0.08884706154
561	0.0888231823
562	0.08857928639
563	0.08855702428
564	0.08854442287
565	0.08844820075
566	0.08842720255
567	0.08834095401
568	0.08827754857
569	0.08819958051
570	0.08812352782
571	0.08806211923
572	0.08794607462
573	0.08791296806
574	0.08776639818
575	0.08774626733
576	0.08773425851
577	0.08767945911
578	0.08760486647
579	0.0875220532
580	0.08741180953
581	0.08739956857
582	0.08734852659
583	0.08733173285
584	0.08730275086
585	0.08716512533
586	0.08715555356
587	0.08708180137
588	0.08701595186
589	0.08697267131
590	0.08686469728
591	0.08673803626
592	0.08659868094
593	0.0864405608
594	0.08630756921
595	0.08622780735
596	0.0861983223
597	0.08618755366
598	0.08610639372
599	0.086082829
600	0.08593527062
601	0.08589057407
602	0.08580489943
603	0.0857390405
604	0.0856812631
605	0.08566846125
606	0.0856106539
607	0.08557797743
608	0.08556179844
609	0.0855212729
610	0.08542343516
611	0.08541016912
612	0.08531809584
613	0.0852852703
614	0.08518678276
615	0.08516385061
616	0.08512059279
617	0.08508996055
618	0.0849725521
619	0.08490627157
620	0.08474975774
621	0.08472249177
622	0.08467325366
623	0.08462594187
624	0.08460179645
625	0.08448590283
626	0.08446668564
627	0.08445959007
628	0.08437191944
629	0.0842518625
630	0.08416019241
631	0.08408018435
632	0.08403128186
633	0.08401274162
634	0.0839403349
635	0.0838572782
636	0.08382851418
637	0.08381475386
638	0.08371182576
639	0.08362068433
640	0.08352896707
641	0.0834875664
642	0.08326034468
643	0.08320467027
644	0.0831941342
645	0.08316642715
646	0.08313601266
647	0.0831309733
648	0.08304197339
649	0.08301539202
650	0.08295008332
651	0.08291151535
652	0.08286125187
653	0.08285478996
654	0.08278670355
655	0.08268010263
656	0.08246428819
657	0.08245492891
658	0.08244471576
659	0.08242260555
660	0.08238241685
661	0.0823582147
662	0.08228655721
663	0.08227405772
664	0.0822287678
665	0.0821475487
666	0.08212020932
667	0.08207508469
668	0.08203874952
669	0.08198686828
670	0.08194993227
671	0.08185858264
672	0.08181458991
673	0.08175891868
674	0.08175393323
675	0.08167331676
676	0.08164150884
677	0.08155277011
678	0.08150016489
679	0.08139022988
680	0.08127846841
681	0.08121264069
682	0.08111060492
683	0.08104688295
684	0.08102323795
685	0.08093275501
686	0.08081088518
687	0.08073209143
688	0.08060701093
689	0.08055078739
690	0.0805157939
691	0.08045716096
692	0.08044255887
693	0.08040733443
694	0.08036591479
695	0.08032981421
696	0.0802701121
697	0.08019374319
698	0.08014343914
699	0.08009029938
700	0.08003175802
701	0.08000599612
702	0.07999047773
703	0.07989428925
704	0.07985815565
705	0.07981714254
706	0.07977608913
707	0.07972583335
708	0.07947258998
709	0.07943625863
710	0.07942891316
711	0.07938458774
712	0.07937638032
713	0.07929138337
714	0.0792823125
715	0.07923336465
716	0.07915844576
717	0.07910691644
718	0.07891869099
719	0.07872844971
720	0.07871671924
721	0.07862188157
722	0.07846575063
723	0.07841993226
724	0.07836638045
725	0.0783199816
726	0.07824013591
727	0.07823138762
728	0.07812739793
729	0.07812231486
730	0.07809688463
731	0.07807038417
732	0.07802084894
733	0.07794752427
734	0.07792507581
735	0.07789390048
736	0.0778157372
737	0.07776395465
738	0.07767431551
739	0.0776091274
740	0.07759074602
741	0.07754182467
742	0.07751396246
743	0.0774885922
744	0.07744633795
745	0.07736304863
746	0.07732544834
747	0.07726949861
748	0.07726377264
749	0.07720838855
750	0.07720291655
751	0.0771315152
752	0.07708121527
753	0.07706060804
754	0.07701765165
755	0.07692258585
756	0.07687368472
757	0.07685337431
758	0.07677391962
759	0.07672824172
760	0.07665949956
761	0.07657090777
762	0.07646113781
763	0.07640674396
764	0.07629862226
765	0.07629086932
766	0.07625152188
767	0.07621107128
768	0.07620551655
769	0.076201405
770	0.07616178273
771	0.07609169856
772	0.07608247822
773	0.07585748593
774	0.0757973939
775	0.07576155726
776	0.0756696121
777	0.0756239
778	0.07556249685
779	0.07551261572
780	0.07550611568
781	0.07548229916
782	0.07532717844
783	0.07530769856
784	0.07522659682
785	0.0752193134
786	0.07520577179
787	0.07512165967
788	0.07501498548
789	0.07497427469
790	0.07492965606
791	0.07490357771
792	0.0748345736
793	0.07481448112
794	0.0747826319
795	0.074750755
796	0.07471975895
797	0.07469642844
798	0.07467119316
799	0.0746397875
800	0.07454305322
801	0.07453235027
802	0.07447657782
803	0.07439131181
804	0.07433383175
805	0.07412181165
806	0.0740581842
807	0.07401405797
808	0.07399055653
809	0.0739265114
810	0.0738396061
811	0.07373810776
812	0.07368483496
813	0.07367630483
814	0.07360989485
815	0.07359833971
816	0.07354328493
817	0.07344348287
818	0.07336685212
819	0.07331523453
820	0.07325736085
821	0.07306282959
822	0.07299827877
823	0.07298996723
824	0.07289272974
825	0.07286576801
826	0.07285077573
827	0.07275670283
828	0.07274342512
829	0.07269816144
830	0.07263888023
831	0.07259650761
832	0.07257314709
833	0.07251677636
834	0.07245093826
835	0.07238348926
836	0.07231920591
837	0.0721516559
838	0.07212229161
839	0.07210813526
840	0.07204012426
841	0.07198727211
842	0.07192559608
843	0.07186326981
844	0.0718241536
845	0.0717400985
846	0.07172649929
847	0.07168464658
848	0.07161057799
849	0.07159318344
850	0.07151455443
851	0.07150203043
852	0.07147994841
853	0.07141976106
854	0.07139223568
855	0.07135593991
856	0.07126912305
857	0.07126124991
858	0.07121128245
859	0.07120499144
860	0.07118062089
861	0.07113347942
862	0.0710499832
863	0.0709955636
864	0.07096018039
865	0.07083455407
866	0.07076996383
867	0.07072120282
868	0.07064306781
869	0.07057375745
870	0.07052147116
871	0.07045804707
872	0.07043505201
873	0.07040889693
874	0.07037999575
875	0.07027325505
876	0.07022798896
877	0.07017740528
878	0.07016636343
879	0.0701059347
880	0.07006374728
881	0.06999722375
882	0.06996019179
883	0.06990220077
884	0.06984209847
885	0.06969054758
886	0.06965463422
887	0.06960306067
888	0.06959702681
889	0.06958107856
890	0.06951803032
891	0.06948179383
892	0.06944412821
893	0.06940390141
894	0.06931407245
895	0.06922093859
896	0.06911007716
897	0.06903884447
898	0.06902237109
899	0.06894922291
900	0.06893833331
901	0.06888923777
902	0.06882000859
903	0.06874923843
904	0.06864418361
905	0.06860968381
906	0.06857536225
907	0.06855677832
908	0.06852471966
909	0.06844143877
910	0.06844051571
911	0.06837195906
912	0.06830562432
913	0.06823195869
914	0.0681755864
915	0.06815137493
916	0.06814629999
917	0.06809771478
918	0.06806980288
919	0.06805032083
920	0.06802910937
921	0.06799890998
922	0.06794815294
923	0.06787108441
924	0.06779695597
925	0.0676992047
926	0.06765398609
927	0.06758381944
928	0.06755665188
929	0.06747828291
930	0.06740395608
931	0.06734808959
932	0.06728669794
933	0.06725797173
934	0.06724794916
935	0.0671702688
936	0.06712651436
937	0.06705628674
938	0.06704508039
939	0.06697880153
940	0.06689315153
941	0.066838523
942	0.06679245866
943	0.06675692714
944	0.06673963433
945	0.06669806724
946	0.06666289722
947	0.0666593916
948	0.06659647239
949	0.06654692132
950	0.06651431828
951	0.0663934354
952	0.06630537399
953	0.06624229827
954	0.06622687131
955	0.06621459447
956	0.06614598969
957	0.06612964966
958	0.06606619602
959	0.06603876705
960	0.06602347138
961	0.06598364551
962	0.06595014965
963	0.06582440523
964	0.06571261241
965	0.06568008289
966	0.06565238753
967	0.06564359146
968	0.06558798274
969	0.06551860952
970	0.0654780237
971	0.06543859277
972	0.06539092269
973	0.06532922777
974	0.06532383701
975	0.06527595413
976	0.06526071216
977	0.06523113875
978	0.06516092835
979	0.06511864816
980	0.06507727517
981	0.06503110056
982	0.06501226889
983	0.06500793619
984	0.06497737939
985	0.06494364771
986	0.06492291387
987	0.0648498186
988	0.06483926573
989	0.06481795385
990	0.06474404878
991	0.0646658174
992	0.06462543584
993	0.06461192248
994	0.06454822031
995	0.06453482539
996	0.06444853713
997	0.06439636824
998	0.0643693132
999	0.06434646609
1000	0.06428032342
1001	0.06427089342
1002	0.06426120556
1003	0.06421218919
1004	0.06414042484
1005	0.06409892448
1006	0.06402665628
