AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-151-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-156-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-19-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-310-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-313-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-386-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-387-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-480-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-481-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-482-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-483-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-484-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-485-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-486-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-487-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-488-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-489-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-490-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-493-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-499-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-560-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-62-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-7-0;0,0;0,0;0,0
2019;1;Aragón;Zaragoza;A-2;Permanente;Z-82-0;0,0;0,0;0,0
2019;1;Aragón;Huesca;A-21;Permanente;HU-455-0;373,376;21,3005;394,6765
2019;1;Aragón;Huesca;A-21;Permanente;HU-456-0;378,7646;20,0837;398,8483
2019;1;Aragón;Huesca;A-21;Permanente;HU-457-0;655,38;26,8296;682,2096
2019;1;Aragón;Zaragoza;A-21;Permanente;Z-361-0;385,8851;31,8621;417,7472
2019;1;Aragón;Huesca;A-22;Permanente;HU-454-0;1414,1416;243,0981;1657,2397
2019;1;Aragón;Huesca;A-23;Permanente;HU-150-0;218,4832;26,2864;244,7696
2019;1;Aragón;Huesca;A-23;Permanente;HU-24-0;180,0604;15,0387;195,0991
2019;1;Aragón;Huesca;A-23;Permanente;HU-245-0;37,9665;4,8744;42,8409
2019;1;Aragón;Huesca;A-23;Permanente;HU-324-0;1642,2902;228,449;1870,7392
2019;1;Aragón;Huesca;A-23;Permanente;HU-453-0;48,8797;4,9921;53,8718
2019;1;Aragón;Teruel;A-23;Permanente;TE-166-0;2213,9029;1342,4207;3556,3236
2019;1;Aragón;Teruel;A-23;Permanente;TE-346-0;2046,0124;1252,6678;3298,6802
2019;1;Aragón;Teruel;A-23;Permanente;TE-347-0;1949,572;945,3964;2894,9684
2019;1;Aragón;Teruel;A-23;Permanente;TE-348-0;1466,6666;1098,5041;2565,1707
2019;1;Aragón;Teruel;A-23;Permanente;TE-349-0;1549,0282;1103,4318;2652,46
2019;1;Aragón;Teruel;A-23;Permanente;TE-351-0;1946,4043;1292,7926;3239,1969
2019;1;Aragón;Teruel;A-23;Permanente;TE-389-0;1677,8498;1195,2964;2873,1462
2019;1;Aragón;Teruel;A-23;Permanente;TE-80-0;2700,6801;1295,2564;3995,9365
2019;1;Aragón;Zaragoza;A-23;Permanente;Z-312-0;2471,5902;286,203;2757,7932
2019;1;Aragón;Zaragoza;A-23;Permanente;Z-318-0;1415,7912;283,4269;1699,2181
2019;1;Aragón;Zaragoza;A-23;Permanente;Z-350-0;959,0644;598,4727;1557,5371
2019;1;Aragón;Zaragoza;A-68;Permanente;Z-315-0;6203,5662;856,1682;7059,7344
2019;1;Aragón;Zaragoza;N-122;Permanente;Z-552-0;282,0617;120,3545;402,4162
2019;1;Aragón;Huesca;N-123;Permanente;HU-255-0;1947,2211;207,0676;2154,2887
2019;1;Aragón;Zaragoza;N-2;Permanente;Z-18-0;392,9537;991,6591;1384,6128
2019;1;Aragón;Zaragoza;N-2;Permanente;Z-311-0;383,418;28,666;412,084
2019;1;Aragón;Teruel;N-211;Permanente;TE-295-0;450,8496;71,043;521,8926
2019;1;Aragón;Zaragoza;N-211;Permanente;Z-316-0;127,2865;29,4999;156,7864
2019;1;Aragón;Zaragoza;N-211;Permanente;Z-553-0;353,4522;46,2529;399,7051
