AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Castilla y León;Burgos;A-1;Permanente;BU-118-0;753,9192;310,3567;1064,2759
2019;1;Castilla y León;Burgos;A-1;Permanente;BU-229-0;5866,5737;2095,3857;7961,9594
2019;1;Castilla y León;Burgos;A-1;Permanente;BU-442-0;4841,4417;1445,1372;6286,5789
2019;1;Castilla y León;Burgos;A-1;Permanente;BU-443-0;8885,8863;1959,601;10845,4873
2019;1;Castilla y León;Burgos;A-1;Permanente;BU-444-0;12872,5584;2108,0365;14980,5949
2019;1;Castilla y León;Burgos;A-1;Permanente;BU-445-0;7081,4674;3935,2263;11016,6937
2019;1;Castilla y León;Burgos;A-1;Permanente;BU-446-0;136,4538;46,9429;183,3967
2019;1;Castilla y León;Segovia;A-1;Permanente;SG-135-0;2036,1782;606,0419;2642,2201
2019;1;Castilla y León;Segovia;A-1;Permanente;SG-440-0;2244,86;622,6211;2867,4811
2019;1;Castilla y León;Segovia;A-1;Permanente;SG-441-0;1905,3467;588,7419;2494,0886
2019;1;Castilla y León;Burgos;A-11;Permanente;BU-543-0;163,6425;180,9237;344,5662
2019;1;Castilla y León;Burgos;A-11;Permanente;BU-544-0;132,9595;138,7199;271,6794
2019;1;Castilla y León;Soria;A-11;Permanente;SO-129-0;0,0;0,0;0,0
2019;1;Castilla y León;Soria;A-11;Permanente;SO-130-0;250,2669;178,4381;428,705
2019;1;Castilla y León;Valladolid;A-11;Permanente;VA-29-0;801,0595;220,5969;1021,6564
2019;1;Castilla y León;Zamora;A-11;Permanente;ZA-432-0;67,3686;17,1282;84,4968
2019;1;Castilla y León;Zamora;A-11;Permanente;ZA-433-0;71,9234;28,0385;99,9619
2019;1;Castilla y León;Soria;A-15;Permanente;SO-123-0;2699,145;1735,1021;4434,2471
2019;1;Castilla y León;Soria;A-15;Permanente;SO-181-0;382,7669;361,891;744,6579
2019;1;Castilla y León;Soria;A-15;Permanente;SO-354-0;3583,3629;549,1273;4132,4902
2019;1;Castilla y León;Soria;A-2;Permanente;SO-4-0;687,924;452,6612;1140,5852
2019;1;Castilla y León;Ávila;A-50;Permanente;AV-353-0;3890,1984;383,8697;4274,0681
2019;1;Castilla y León;Salamanca;A-50;Permanente;SA-422-0;2641,7454;495,3273;3137,0727
2019;1;Castilla y León;Salamanca;A-50;Permanente;SA-426-0;4911,5262;495,3273;5406,8535
2019;1;Castilla y León;Zamora;A-52;Permanente;ZA-333-0;1976,4107;860,4756;2836,8863
2019;1;Castilla y León;Zamora;A-52;Permanente;ZA-336-0;1215,5459;531,8702;1747,4161
2019;1;Castilla y León;Zamora;A-52;Permanente;ZA-373-0;1257,4486;771,8919;2029,3405
2019;1;Castilla y León;Zamora;A-52;Permanente;ZA-393-0;1454,0973;782,5513;2236,6486
2019;1;Castilla y León;Ávila;A-6;Permanente;AV-142-0;215,5883;55,8725;271,4608
2019;1;Castilla y León;León;A-6;Permanente;LE-325-0;2339,233;879,1031;3218,3361
2019;1;Castilla y León;Valladolid;A-6;Permanente;VA-582-0;2919,7753;654,0;3573,7753
2019;1;Castilla y León;Zamora;A-6;Permanente;ZA-121-0;1027,8909;350,1995;1378,0904
2019;1;Castilla y León;Zamora;A-6;Permanente;ZA-391-0;445,1671;167,8333;613,0004
2019;1;Castilla y León;León;A-60;Permanente;LE-591-0;1992,3056;497,25;2489,5556
2019;1;Castilla y León;León;A-60;Permanente;LE-592-0;4123,9167;367,3889;4491,3056
2019;1;Castilla y León;León;A-60;Permanente;LE-593-0;2006,8241;209,1991;2216,0232
2019;1;Castilla y León;Valladolid;A-60;Permanente;VA-6-0;3704,9305;382,8356;4087,7661
2019;1;Castilla y León;Burgos;A-62;Permanente;BU-64-0;817,4767;507,9721;1325,4488
2019;1;Castilla y León;Palencia;A-62;Permanente;P-148-0;3165,1797;918,4653;4083,645
2019;1;Castilla y León;Palencia;A-62;Permanente;P-93-0;1245,5072;756,4543;2001,9615
2019;1;Castilla y León;Salamanca;A-62;Permanente;SA-128-0;1676,2282;1113,2939;2789,5221
2019;1;Castilla y León;Salamanca;A-62;Permanente;SA-182-0;2927,4263;1522,8149;4450,2412
2019;1;Castilla y León;Salamanca;A-62;Permanente;SA-184-0;4167,7262;1682,9347;5850,6609
2019;1;Castilla y León;Salamanca;A-62;Permanente;SA-185-0;7287,1283;2249,2225;9536,3508
2019;1;Castilla y León;Valladolid;A-62;Permanente;VA-31-0;5142,0724;995,4723;6137,5447
2019;1;Castilla y León;Valladolid;A-62;Permanente;VA-332-0;922,8077;447,6549;1370,4626
2019;1;Castilla y León;Salamanca;A-66;Permanente;SA-144-0;76,2783;26,6487;102,927
2019;1;Castilla y León;Salamanca;A-66;Permanente;SA-186-0;1393,5675;374,2044;1767,7719
2019;1;Castilla y León;Salamanca;A-66;Permanente;SA-192-0;455,1828;204,4474;659,6302
2019;1;Castilla y León;Salamanca;A-66;Permanente;SA-352-0;264,4334;41,5223;305,9557
2019;1;Castilla y León;Salamanca;A-66;Permanente;SA-423-0;961,0668;245,0905;1206,1573
2019;1;Castilla y León;Zamora;A-66;Permanente;ZA-357-0;821,2363;149,9405;971,1768
2019;1;Castilla y León;Zamora;A-66;Permanente;ZA-556-0;544,4986;147,9768;692,4754
2019;1;Castilla y León;Zamora;A-66;Permanente;ZA-557-0;580,1252;153,5873;733,7125
2019;1;Castilla y León;Zamora;A-66;Permanente;ZA-558-0;628,7962;148,6781;777,4743
2019;1;Castilla y León;Zamora;A-66;Permanente;ZA-559-0;878,7438;187,3905;1066,1343
2019;1;Castilla y León;Palencia;A-67;Permanente;P-362-0;2094,4838;411,999;2506,4828
2019;1;Castilla y León;Palencia;A-67;Permanente;P-471-0;2261,8001;367,2571;2629,0572
2019;1;Castilla y León;Burgos;A-73;Permanente;BU-447-0;2920,0;853,0;3773,0
2019;1;Castilla y León;Burgos;AP-1;Permanente;BU-1-0;12810,0003;7290,9999;20101,0002
2019;1;Castilla y León;Burgos;AP-1;Permanente;BU-2-0;13305,0003;8478,0002;21783,0005
2019;1;Castilla y León;Burgos;AP-1;Permanente;BU-3-0;13921,0004;7579,9997;21501,0001
2019;1;Castilla y León;Burgos;AP-1;Permanente;BU-5-0;12955,9996;8610,9998;21566,9994
2019;1;Castilla y León;Burgos;AP-1;Permanente;BU-6-0;11005,0004;9042,0;20047,0004
2019;1;Castilla y León;Burgos;BU-30;Permanente;BU-545-0;629,1856;195,0854;824,271
2019;1;Castilla y León;Burgos;BU-30;Permanente;BU-563-0;704,8094;279,9643;984,7737
2019;1;Castilla y León;Burgos;BU-30;Permanente;BU-576-0;2028,9142;788,4009;2817,3151
2019;1;Castilla y León;León;LE-11;Permanente;LE-474-0;1940,2912;74,9176;2015,2088
2019;1;Castilla y León;Burgos;N-1;Permanente;BU-165-0;104,6422;56,3232;160,9654
2019;1;Castilla y León;Burgos;N-1;Permanente;BU-549-0;372,2816;147,895;520,1766
2019;1;Castilla y León;Ávila;N-110;Permanente;AV-218-0;676,4485;65,4353;741,8838
2019;1;Castilla y León;Segovia;N-110;Permanente;SG-286-0;19,7373;3,3183;23,0556
2019;1;Castilla y León;Segovia;N-110;Permanente;SG-287-0;78,5434;8,1483;86,6917
2019;1;Castilla y León;Soria;N-111;Permanente;SO-364-0;183,2472;55,018;238,2652
2019;1;Castilla y León;León;N-120;Permanente;LE-257-0;16,8567;1,7677;18,6244
2019;1;Castilla y León;Palencia;N-120;Permanente;P-149-0;0,0;0,0;0,0
2019;1;Castilla y León;Soria;N-122;Permanente;SO-167-0;208,2124;16,7494;224,9618
2019;1;Castilla y León;Valladolid;N-122;Permanente;VA-303-0;183,538;68,0754;251,6134
2019;1;Castilla y León;Zamora;N-122;Permanente;ZA-307-0;315,9234;140,6062;456,5296
2019;1;Castilla y León;Zamora;N-122;Permanente;ZA-420-0;251,4349;142,7206;394,1555
2019;1;Castilla y León;Zamora;N-122;Permanente;ZA-5-0;231,5057;24,7436;256,2493
2019;1;Castilla y León;Zamora;N-122A;Permanente;ZA-379-0;21,9427;1,7415;23,6842
2019;1;Castilla y León;Burgos;N-234;Permanente;BU-230-0;58,4195;13,6977;72,1172
2019;1;Castilla y León;Soria;N-234;Permanente;SO-292-0;78,4005;32,0949;110,4954
2019;1;Castilla y León;Ávila;N-403;Permanente;AV-219-0;1247,2604;60,0116;1307,272
2019;1;Castilla y León;Ávila;N-403;Permanente;AV-221-0;543,7258;62,2997;606,0255
2019;1;Castilla y León;Salamanca;N-501;Permanente;SA-143-0;171,6133;23,7618;195,3751
2019;1;Castilla y León;Ávila;N-502;Permanente;AV-271-0;230,2853;22,3768;252,6621
2019;1;Castilla y León;Zamora;N-525;Permanente;ZA-146-0;60,8135;14,9582;75,7717
2019;1;Castilla y León;León;N-6;Permanente;LE-157-0;86,406;3,8992;90,3052
2019;1;Castilla y León;León;N-6;Permanente;LE-256-0;38,4785;5,5488;44,0273
2019;1;Castilla y León;Segovia;N-6;Permanente;SG-134-0;139,1021;22,6602;161,7623
2019;1;Castilla y León;Valladolid;N-601;Permanente;VA-147-0;1543,3546;326,0824;1869,437
2019;1;Castilla y León;Valladolid;N-601;Permanente;VA-17-0;19,0116;9,5413;28,5529
2019;1;Castilla y León;Palencia;N-610;Permanente;P-282-0;397,207;252,5353;649,7423
2019;1;Castilla y León;Zamora;N-610;Permanente;ZA-40-0;88,4626;100,5428;189,0054
2019;1;Castilla y León;Palencia;N-611;Permanente;P-281-0;200,3215;24,6895;225,011
2019;1;Castilla y León;Salamanca;N-620;Permanente;SA-380-0;11,0935;0,6035;11,697
2019;1;Castilla y León;Salamanca;N-620R;Permanente;SA-392-0;0,0;0,0;0,0
2019;1;Castilla y León;Burgos;N-623;Permanente;BU-163-0;19,6001;4,1287;23,7288
2019;1;Castilla y León;Burgos;N-623;Permanente;BU-228-0;0,0;0,0;0,0
2019;1;Castilla y León;León;N-625;Permanente;LE-258-0;0,0;0,0;0,0
2019;1;Castilla y León;Palencia;N-627;Permanente;P-28-0;291,0583;120,7141;411,7724
2019;1;Castilla y León;Burgos;N-629;Permanente;BU-227-0;1847,7749;243,5937;2091,3686
2019;1;Castilla y León;León;N-630;Permanente;LE-158-0;54,3978;18,83;73,2278
2019;1;Castilla y León;Zamora;N-630;Permanente;ZA-306-0;9,3223;1,1518;10,4741
2019;1;Castilla y León;Zamora;N-630;Permanente;ZA-308-0;5,9733;1,2416;7,2149
2019;1;Castilla y León;Zamora;N-631;Permanente;ZA-10-0;1254,794;303,1188;1557,9128
2019;1;Castilla y León;Segovia;SG-20;Permanente;SG-397-0;1479,1418;173,6971;1652,8389
2019;1;Castilla y León;Soria;SO-20;Permanente;SO-421-0;2844,5294;337,2976;3181,827
2019;1;Castilla y León;Valladolid;VA-30;Permanente;VA-434-0;16477,6062;1330,5634;17808,1696
2019;1;Castilla y León;Valladolid;VA-30;Permanente;VA-74-0;4586,8029;1261,1832;5847,9861
2019;1;Castilla y León;Valladolid;VA-30;Permanente;VA-77-0;6021,803;1420,5634;7442,3664
2019;1;Castilla y León;Valladolid;VA-30;Permanente;VA-78-0;7840,8175;1490,4367;9331,2542
2019;2;Castilla y León;Burgos;A-1;Permanente;BU-118-0;783,4444;332,594;1116,0384
2019;2;Castilla y León;Burgos;A-1;Permanente;BU-229-0;6750,4394;1923,3355;8673,7749
2019;2;Castilla y León;Burgos;A-1;Permanente;BU-442-0;5471,4489;1575,0182;7046,4671
2019;2;Castilla y León;Burgos;A-1;Permanente;BU-443-0;9456,8561;2037,1922;11494,0483
2019;2;Castilla y León;Burgos;A-1;Permanente;BU-444-0;13885,4619;2209,6642;16095,1261
2019;2;Castilla y León;Burgos;A-1;Permanente;BU-445-0;7472,7975;4286,4954;11759,2929
2019;2;Castilla y León;Burgos;A-1;Permanente;BU-446-0;130,7105;52,7031;183,4136
2019;2;Castilla y León;Segovia;A-1;Permanente;SG-135-0;2295,1382;627,4867;2922,6249
2019;2;Castilla y León;Segovia;A-1;Permanente;SG-440-0;2661,8629;670,7368;3332,5997
2019;2;Castilla y León;Segovia;A-1;Permanente;SG-441-0;2131,1482;629,469;2760,6172
2019;2;Castilla y León;Burgos;A-11;Permanente;BU-543-0;166,4639;177,1618;343,6257
2019;2;Castilla y León;Burgos;A-11;Permanente;BU-544-0;146,714;146,8315;293,5455
2019;2;Castilla y León;Soria;A-11;Permanente;SO-129-0;0,0;0,0;0,0
