AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Comunitat Valenciana;Valencia/València;A-3;Permanente;V-385-0;4023,5852;1847,9113;5871,4965
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-508-0;2673,1994;578,1729;3251,3723
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-509-0;4333,2048;2135,8387;6469,0435
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-510-0;4408,3366;2104,9204;6513,257
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-511-0;6519,7497;2256,1111;8775,8608
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-512-0;7885,7216;2180,9794;10066,701
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-513-0;8731,6473;2337,7355;11069,3828
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-514-0;9597,6698;2290,7395;11888,4093
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-515-0;12425,4617;2341,7548;14767,2165
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-516-0;11318,5846;2516,4435;13835,0281
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-536-0;11699,4988;2278,0631;13977,5619
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-537-0;6687,9455;802,64;7490,5855
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-538-0;7870,2624;752,8615;8623,1239
2019;1;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-539-0;10870,2687;1200,559;12070,8277
2019;1;Comunitat Valenciana;Valencia/València;A-38;Permanente;V-463-0;10677,0274;1207,5957;11884,6231
2019;1;Comunitat Valenciana;Valencia/València;A-38;Permanente;V-464-0;4081,6395;416,8853;4498,5248
2019;1;Comunitat Valenciana;Alicante/Alacant;A-7;Permanente;A-217-0;5524,6421;1041,108;6565,7501
2019;1;Comunitat Valenciana;Castellón/Castelló;A-7;Permanente;CS-37-0;1620,2308;531,2497;2151,4805
2019;1;Comunitat Valenciana;Valencia/València;A-7;Permanente;V-187-0;3556,8394;1000,6843;4557,5237
2019;1;Comunitat Valenciana;Valencia/València;A-7;Permanente;V-201-0;430,9077;147,6584;578,5661
2019;1;Comunitat Valenciana;Valencia/València;A-7;Permanente;V-302-0;5751,0822;2105,9743;7857,0565
2019;1;Comunitat Valenciana;Valencia/València;A-7;Permanente;V-449-0;275,9329;34,5321;310,465
2019;1;Comunitat Valenciana;Alicante/Alacant;A-70;Permanente;A-81-0;77222,0;5349,0;82571,0
2019;1;Comunitat Valenciana;Castellón/Castelló;CS-22;Permanente;CS-89-0;11233,3499;1843,7953;13077,1452
2019;1;Comunitat Valenciana;Castellón/Castelló;N-225;Permanente;CS-9-0;0,0;0,0;0,0
2019;1;Comunitat Valenciana;Castellón/Castelló;N-232;Permanente;CS-50-0;285,4643;68,6989;354,1632
2019;1;Comunitat Valenciana;Alicante/Alacant;N-325;Permanente;A-3-0;929,8685;62,3338;992,2023
2019;1;Comunitat Valenciana;Valencia/València;N-330;Permanente;V-300-0;278,0251;17,227;295,2521
2019;1;Comunitat Valenciana;Alicante/Alacant;N-332;Permanente;A-188-0;1898,5433;157,9965;2056,5398
2019;1;Comunitat Valenciana;Alicante/Alacant;N-332;Permanente;A-190-0;2476,3757;107,5868;2583,9625
2019;1;Comunitat Valenciana;Alicante/Alacant;N-332;Permanente;A-79-0;1246,9823;52,0164;1298,9987
2019;1;Comunitat Valenciana;Alicante/Alacant;N-340;Permanente;A-216-0;43,8007;3,3292;47,1299
2019;1;Comunitat Valenciana;Castellón/Castelló;N-340;Permanente;CS-13-0;863,8522;53,577;917,4292
2019;1;Comunitat Valenciana;Castellón/Castelló;N-340;Permanente;CS-145-0;977,8719;141,3599;1119,2318
2019;1;Comunitat Valenciana;Valencia/València;N-420;Permanente;V-66-0;11,5158;2,0651;13,5809
2019;1;Comunitat Valenciana;Valencia/València;V-21;Permanente;V-71-0;67157,0017;1358,0001;68515,0018
2019;1;Comunitat Valenciana;Valencia/València;V-31;Permanente;V-301-0;98822,9905;6908,9281;105731,9186
2019;2;Comunitat Valenciana;Valencia/València;A-3;Permanente;V-385-0;4113,1583;1884,4895;5997,6478
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-508-0;2942,1889;602,5984;3544,7873
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-509-0;4524,8984;2217,154;6742,0524
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-510-0;4646,0982;2243,1252;6889,2234
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-511-0;6850,5758;2408,5386;9259,1144
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-512-0;8171,0982;2344,8466;10515,9448
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-513-0;9009,2939;2487,3802;11496,6741
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-514-0;9790,6009;2456,7711;12247,372
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-515-0;12932,2127;2507,1679;15439,3806
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-516-0;11797,2008;2666,3974;14463,5982
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-536-0;12148,4326;2432,6548;14581,0874
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-537-0;7004,24;821,191;7825,431
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-538-0;8253,9591;779,1421;9033,1012
2019;2;Comunitat Valenciana;Alicante/Alacant;A-31;Permanente;A-539-0;11402,0645;1231,4773;12633,5418
2019;2;Comunitat Valenciana;Valencia/València;A-38;Permanente;V-463-0;11279,705;1227,7596;12507,4646
2019;2;Comunitat Valenciana;Valencia/València;A-38;Permanente;V-464-0;4032,1313;406,8853;4439,0166
2019;2;Comunitat Valenciana;Alicante/Alacant;A-7;Permanente;A-217-0;5804,5278;1127,6479;6932,1757
2019;2;Comunitat Valenciana;Castellón/Castelló;A-7;Permanente;CS-37-0;1658,4919;556,4274;2214,9193
2019;2;Comunitat Valenciana;Valencia/València;A-7;Permanente;V-187-0;3812,0411;1140,9794;4953,0205
2019;2;Comunitat Valenciana;Valencia/València;A-7;Permanente;V-201-0;439,4656;157,4243;596,8899
2019;2;Comunitat Valenciana;Valencia/València;A-7;Permanente;V-302-0;5827,1465;2257,22;8084,3665
2019;2;Comunitat Valenciana;Valencia/València;A-7;Permanente;V-449-0;281,3538;36,3283;317,6821
2019;2;Comunitat Valenciana;Alicante/Alacant;A-70;Permanente;A-81-0;82203,0;5934,0;88137,0
2019;2;Comunitat Valenciana;Castellón/Castelló;CS-22;Permanente;CS-89-0;11852,8589;1905,8238;13758,6827
2019;2;Comunitat Valenciana;Castellón/Castelló;N-225;Permanente;CS-9-0;0,0;0,0;0,0
2019;2;Comunitat Valenciana;Castellón/Castelló;N-232;Permanente;CS-50-0;307,1247;79,8524;386,9771
2019;2;Comunitat Valenciana;Alicante/Alacant;N-325;Permanente;A-3-0;960,0362;64,9033;1024,9395
2019;2;Comunitat Valenciana;Valencia/València;N-330;Permanente;V-300-0;295,7306;17,8651;313,5957
2019;2;Comunitat Valenciana;Alicante/Alacant;N-332;Permanente;A-188-0;2009,3476;172,9945;2182,3421
2019;2;Comunitat Valenciana;Alicante/Alacant;N-332;Permanente;A-190-0;2677,146;116,4793;2793,6253
