AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Extremadura;Badajoz;A-5;Permanente;BA-208-0;4813,6158;757,7113;5571,3271
2019;1;Extremadura;Badajoz;A-5;Permanente;BA-382-0;2078,2322;646,0685;2724,3007
2019;1;Extremadura;Badajoz;A-5;Permanente;BA-4-0;3236,8303;832,5904;4069,4207
2019;1;Extremadura;Cáceres;A-5;Permanente;CC-211-0;2916,4471;632,9379;3549,385
2019;1;Extremadura;Cáceres;A-5;Permanente;CC-431-0;2378,0015;568,2347;2946,2362
2019;1;Extremadura;Cáceres;A-58;Permanente;CC-207-0;2588,9999;188,0;2776,9999
2019;1;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5051,0002;247,0;5298,0002
2019;1;Extremadura;Cáceres;A-58;Permanente;CC-429-0;7190,9999;271,0;7461,9999
2019;1;Extremadura;Badajoz;A-66;Permanente;BA-34-0;1710,6433;501,977;2212,6203
2019;1;Extremadura;Cáceres;A-66;Permanente;CC-212-0;1479,0213;540,7149;2019,7362
2019;1;Extremadura;Cáceres;A-66;Permanente;CC-88-0;1844,8341;461,1488;2305,9829
2019;1;Extremadura;Badajoz;N-430;Permanente;BA-209-0;1306,7242;257,6677;1564,3919
2019;1;Extremadura;Badajoz;N-432;Permanente;BA-222-0;221,1489;12,3782;233,5271
2019;1;Extremadura;Badajoz;N-432;Permanente;BA-223-0;0,0;0,0;0,0
2019;1;Extremadura;Badajoz;N-435;Permanente;BA-224-0;881,6397;117,2767;998,9164
2019;1;Extremadura;Cáceres;N-521;Permanente;CC-231-0;1525,7313;133,3478;1659,0791
2019;1;Extremadura;Cáceres;N-521;Permanente;CC-381-0;795,5553;58,906;854,4613
2019;1;Extremadura;Cáceres;N-521;Permanente;CC-430-0;14,0102;0,4831;14,4933
2019;1;Extremadura;Cáceres;N-521;Permanente;CC-7-0;294,9729;11,6734;306,6463
2019;1;Extremadura;Cáceres;N-630;Permanente;CC-210-0;21,8212;1,9419;23,7631
2019;1;Extremadura;Cáceres;N-630;Permanente;CC-232-0;33,0054;3,4879;36,4933
2019;2;Extremadura;Badajoz;A-5;Permanente;BA-208-0;4891,1982;777,7151;5668,9133
2019;2;Extremadura;Badajoz;A-5;Permanente;BA-382-0;2119,321;704,1877;2823,5087
2019;2;Extremadura;Badajoz;A-5;Permanente;BA-4-0;3488,2293;963,1557;4451,385
2019;2;Extremadura;Cáceres;A-5;Permanente;CC-211-0;3160,5255;672,977;3833,5025
2019;2;Extremadura;Cáceres;A-5;Permanente;CC-431-0;2535,275;599,9457;3135,2207
2019;2;Extremadura;Cáceres;A-58;Permanente;CC-207-0;2835,0;184,0;3019,0
2019;2;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5438,9998;272,0;5710,9998
2019;2;Extremadura;Cáceres;A-58;Permanente;CC-429-0;7738,9999;292,0;8030,9999
2019;2;Extremadura;Badajoz;A-66;Permanente;BA-34-0;1757,0027;535,5418;2292,5445
2019;2;Extremadura;Cáceres;A-66;Permanente;CC-212-0;1652,9675;613,3518;2266,3193
2019;2;Extremadura;Cáceres;A-66;Permanente;CC-88-0;1992,7361;528,0512;2520,7873
2019;2;Extremadura;Badajoz;N-430;Permanente;BA-209-0;1409,7371;294,4388;1704,1759
2019;2;Extremadura;Badajoz;N-432;Permanente;BA-222-0;236,1284;13,5443;249,6727
2019;2;Extremadura;Badajoz;N-432;Permanente;BA-223-0;0,0;0,0;0,0
2019;2;Extremadura;Badajoz;N-435;Permanente;BA-224-0;940,6909;115,2119;1055,9028
2019;2;Extremadura;Cáceres;N-521;Permanente;CC-231-0;1591,1106;139,8209;1730,9315
2019;2;Extremadura;Cáceres;N-521;Permanente;CC-381-0;802,6758;61,4953;864,1711
2019;2;Extremadura;Cáceres;N-521;Permanente;CC-430-0;14,9255;0,4831;15,4086
2019;2;Extremadura;Cáceres;N-521;Permanente;CC-7-0;318,2048;12,5919;330,7967
2019;2;Extremadura;Cáceres;N-630;Permanente;CC-210-0;22,8433;2,1463;24,9896
2019;2;Extremadura;Cáceres;N-630;Permanente;CC-232-0;35,7828;4,6505;40,4333
2019;3;Extremadura;Badajoz;A-5;Permanente;BA-208-0;5036,6311;762,3068;5798,9379
2019;3;Extremadura;Badajoz;A-5;Permanente;BA-382-0;2193,3891;665,2613;2858,6504
2019;3;Extremadura;Badajoz;A-5;Permanente;BA-4-0;3782,8798;1031,5471;4814,4269
2019;3;Extremadura;Cáceres;A-5;Permanente;CC-211-0;3516,7134;664,9692;4181,6826
2019;3;Extremadura;Cáceres;A-5;Permanente;CC-431-0;2832,5253;591,9379;3424,4632
2019;3;Extremadura;Cáceres;A-58;Permanente;CC-207-0;2962,0001;185,0;3147,0001
2019;3;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5625,0002;282,0;5907,0002
2019;3;Extremadura;Cáceres;A-58;Permanente;CC-429-0;7939,9999;295,0;8234,9999
2019;3;Extremadura;Badajoz;A-66;Permanente;BA-34-0;1736,2324;522,7473;2258,9797
2019;3;Extremadura;Cáceres;A-66;Permanente;CC-212-0;1824,5244;619,8031;2444,3275
2019;3;Extremadura;Cáceres;A-66;Permanente;CC-88-0;2087,5943;514,6707;2602,265
2019;3;Extremadura;Badajoz;N-430;Permanente;BA-209-0;1456,5121;272,8087;1729,3208
2019;3;Extremadura;Badajoz;N-432;Permanente;BA-222-0;323,1348;18,2983;341,4331
2019;3;Extremadura;Badajoz;N-432;Permanente;BA-223-0;0,0;0,0;0,0
2019;3;Extremadura;Badajoz;N-435;Permanente;BA-224-0;936,1485;107,366;1043,5145
2019;3;Extremadura;Cáceres;N-521;Permanente;CC-231-0;1615,0614;135,937;1750,9984
2019;3;Extremadura;Cáceres;N-521;Permanente;CC-381-0;865,4658;62,1426;927,6084
2019;3;Extremadura;Cáceres;N-521;Permanente;CC-430-0;16,7309;0,534;17,2649
2019;3;Extremadura;Cáceres;N-521;Permanente;CC-7-0;328,6917;13,0512;341,7429
2019;3;Extremadura;Cáceres;N-630;Permanente;CC-210-0;24,8363;1,9419;26,7782
2019;3;Extremadura;Cáceres;N-630;Permanente;CC-232-0;36,5579;4,0046;40,5625
2019;4;Extremadura;Badajoz;A-5;Permanente;BA-208-0;5255,862;761,7661;6017,6281
2019;4;Extremadura;Badajoz;A-5;Permanente;BA-382-0;2474,7939;662,8285;3137,6224
2019;4;Extremadura;Badajoz;A-5;Permanente;BA-4-0;3628,2558;958,5602;4586,816
2019;4;Extremadura;Cáceres;A-5;Permanente;CC-211-0;3430,8695;665,2895;4096,159
2019;4;Extremadura;Cáceres;A-5;Permanente;CC-431-0;2837,9706;596,4223;3434,3929
2019;4;Extremadura;Cáceres;A-58;Permanente;CC-207-0;3009,0;189,0;3198,0
2019;4;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5115,9999;303,0;5418,9999
2019;4;Extremadura;Cáceres;A-58;Permanente;CC-429-0;7320,0001;308,0;7628,0001
2019;4;Extremadura;Badajoz;A-66;Permanente;BA-34-0;1959,8871;587,7169;2547,604
2019;4;Extremadura;Cáceres;A-66;Permanente;CC-212-0;2075,4084;637,2455;2712,6539
2019;4;Extremadura;Cáceres;A-66;Permanente;CC-88-0;2282,3281;556,9626;2839,2907
2019;4;Extremadura;Badajoz;N-430;Permanente;BA-209-0;1558,1732;273,8902;1832,0634
2019;4;Extremadura;Badajoz;N-432;Permanente;BA-222-0;267,074;15,7867;282,8607
2019;4;Extremadura;Badajoz;N-432;Permanente;BA-223-0;0,0;0,0;0,0
2019;4;Extremadura;Badajoz;N-435;Permanente;BA-224-0;966,2936;99,107;1065,4006
2019;4;Extremadura;Cáceres;N-521;Permanente;CC-231-0;1765,2395;139,1736;1904,4131
2019;4;Extremadura;Cáceres;N-521;Permanente;CC-381-0;983,9252;63,4373;1047,3625
2019;4;Extremadura;Cáceres;N-521;Permanente;CC-430-0;16,9088;0,5594;17,4682
2019;4;Extremadura;Cáceres;N-521;Permanente;CC-7-0;333,7055;13,0895;346,795
2019;4;Extremadura;Cáceres;N-630;Permanente;CC-210-0;25,0919;1,7375;26,8294
2019;4;Extremadura;Cáceres;N-630;Permanente;CC-232-0;32,6179;2,7774;35,3953
2019;5;Extremadura;Badajoz;A-5;Permanente;BA-208-0;5300,1946;857,46;6157,6546
2019;5;Extremadura;Badajoz;A-5;Permanente;BA-382-0;2293,1378;721,2179;3014,3557
2019;5;Extremadura;Badajoz;A-5;Permanente;BA-4-0;3898,0369;936,9345;4834,9714
2019;5;Extremadura;Cáceres;A-5;Permanente;CC-211-0;3706,6585;718,4614;4425,1199
2019;5;Extremadura;Cáceres;A-5;Permanente;CC-431-0;2985,6349;638,7035;3624,3384
2019;5;Extremadura;Cáceres;A-58;Permanente;CC-207-0;3087,0001;190,0;3277,0001
2019;5;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5881,0003;307,0;6188,0003
2019;5;Extremadura;Cáceres;A-58;Permanente;CC-429-0;8269,0001;331,0;8600,0001
2019;5;Extremadura;Badajoz;A-66;Permanente;BA-34-0;2172,2427;619,4539;2791,6966
2019;5;Extremadura;Cáceres;A-66;Permanente;CC-212-0;1961,9132;667,8295;2629,7427
2019;5;Extremadura;Cáceres;A-66;Permanente;CC-88-0;2285,1953;573,6882;2858,8835
2019;5;Extremadura;Badajoz;N-430;Permanente;BA-209-0;1723,9133;320,6652;2044,5785
2019;5;Extremadura;Badajoz;N-432;Permanente;BA-222-0;228,5938;13,5443;242,1381
2019;5;Extremadura;Badajoz;N-432;Permanente;BA-223-0;0,0;0,0;0,0
2019;5;Extremadura;Badajoz;N-435;Permanente;BA-224-0;981,9855;110,2566;1092,2421
2019;5;Extremadura;Cáceres;N-521;Permanente;CC-231-0;1710,2173;148,8834;1859,1007
2019;5;Extremadura;Cáceres;N-521;Permanente;CC-381-0;905,5996;67,3212;972,9208
2019;5;Extremadura;Cáceres;N-521;Permanente;CC-430-0;17,9513;0,6102;18,5615
2019;5;Extremadura;Cáceres;N-521;Permanente;CC-7-0;350,3162;14,5439;364,8601
2019;5;Extremadura;Cáceres;N-630;Permanente;CC-210-0;27,2382;2,1975;29,4357
2019;5;Extremadura;Cáceres;N-630;Permanente;CC-232-0;24,4796;2,1961;26,6757
2019;6;Extremadura;Badajoz;A-5;Permanente;BA-208-0;5283,7053;820,6962;6104,4015
2019;6;Extremadura;Badajoz;A-5;Permanente;BA-382-0;2474,5235;683,6432;3158,1667
2019;6;Extremadura;Badajoz;A-5;Permanente;BA-4-0;4181,8745;1049,6586;5231,5331
2019;6;Extremadura;Cáceres;A-5;Permanente;CC-211-0;3968,034;708,5317;4676,5657
2019;6;Extremadura;Cáceres;A-5;Permanente;CC-431-0;3282,5645;631,3364;3913,9009
2019;6;Extremadura;Cáceres;A-58;Permanente;CC-207-0;2992,9999;184,0;3176,9999
2019;6;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5588,0002;296,0;5884,0002
2019;6;Extremadura;Cáceres;A-58;Permanente;CC-429-0;8081,9997;317,0;8398,9997
2019;6;Extremadura;Badajoz;A-66;Permanente;BA-34-0;2447,9065;562,1279;3010,0344
2019;6;Extremadura;Cáceres;A-66;Permanente;CC-212-0;2154,9746;599,4934;2754,468
2019;6;Extremadura;Cáceres;A-66;Permanente;CC-88-0;2515,053;508,6973;3023,7503
2019;6;Extremadura;Badajoz;N-430;Permanente;BA-209-0;1792,5886;349,5953;2142,1839
2019;6;Extremadura;Badajoz;N-432;Permanente;BA-222-0;297,5262;16,6837;314,2099
2019;6;Extremadura;Badajoz;N-432;Permanente;BA-223-0;0,0;0,0;0,0
2019;6;Extremadura;Badajoz;N-435;Permanente;BA-224-0;946,0592;107,7789;1053,8381
2019;6;Extremadura;Cáceres;N-521;Permanente;CC-231-0;1697,9183;146,2941;1844,2124
2019;6;Extremadura;Cáceres;N-521;Permanente;CC-381-0;953,5012;68,6158;1022,117
2019;6;Extremadura;Cáceres;N-521;Permanente;CC-430-0;18,6379;0,6357;19,2736
2019;6;Extremadura;Cáceres;N-521;Permanente;CC-7-0;335,8488;13,9698;349,8186
2019;6;Extremadura;Cáceres;N-630;Permanente;CC-210-0;25,5518;1,993;27,5448
2019;6;Extremadura;Cáceres;N-630;Permanente;CC-232-0;21,573;2,1961;23,7691
2019;7;Extremadura;Badajoz;A-5;Permanente;BA-208-0;5203,69;869,0838;6072,7738
2019;7;Extremadura;Badajoz;A-5;Permanente;BA-382-0;2584,2741;729,5979;3313,872
2019;7;Extremadura;Badajoz;A-5;Permanente;BA-4-0;4676,2926;1062,9043;5739,1969
2019;7;Extremadura;Cáceres;A-5;Permanente;CC-211-0;4693,8626;732,5551;5426,4177
2019;7;Extremadura;Cáceres;A-5;Permanente;CC-431-0;4017,362;656,9614;4674,3234
2019;7;Extremadura;Cáceres;A-58;Permanente;CC-207-0;2849,0;181,0;3030,0
2019;7;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5233,0;296,0;5529,0
2019;7;Extremadura;Cáceres;A-58;Permanente;CC-429-0;7707,9997;311,0;8018,9997
2019;7;Extremadura;Badajoz;A-66;Permanente;BA-34-0;3333,0542;553,6536;3886,7078
2019;7;Extremadura;Cáceres;A-66;Permanente;CC-212-0;3010,1308;586,5908;3596,7216
2019;7;Extremadura;Cáceres;A-66;Permanente;CC-88-0;3163,5285;508,9362;3672,4647
2019;7;Extremadura;Badajoz;N-430;Permanente;BA-209-0;1783,1256;365,5475;2148,6731
2019;7;Extremadura;Badajoz;N-432;Permanente;BA-222-0;243,5284;14,217;257,7454
2019;7;Extremadura;Badajoz;N-432;Permanente;BA-223-0;0,0;0,0;0,0
2019;7;Extremadura;Badajoz;N-435;Permanente;BA-224-0;953,0793;110,6695;1063,7488
2019;7;Extremadura;Cáceres;N-521;Permanente;CC-231-0;1760,7082;140,4683;1901,1765
2019;7;Extremadura;Cáceres;N-521;Permanente;CC-381-0;1103,6792;71,2051;1174,8843
2019;7;Extremadura;Cáceres;N-521;Permanente;CC-430-0;20,138;0,6357;20,7737
2019;7;Extremadura;Cáceres;N-521;Permanente;CC-7-0;336,4612;13,8932;350,3544
2019;7;Extremadura;Cáceres;N-630;Permanente;CC-210-0;25,8584;1,9419;27,8003
2019;7;Extremadura;Cáceres;N-630;Permanente;CC-232-0;32,6179;4,1338;36,7517
2019;8;Extremadura;Badajoz;A-5;Permanente;BA-208-0;5060,1492;806,6396;5866,7888
2019;8;Extremadura;Badajoz;A-5;Permanente;BA-382-0;3174,9267;625,5241;3800,4508
2019;8;Extremadura;Badajoz;A-5;Permanente;BA-4-0;5365,883;1037,7645;6403,6475
2019;8;Extremadura;Cáceres;A-5;Permanente;CC-211-0;5821,3634;647,0317;6468,3951
2019;8;Extremadura;Cáceres;A-5;Permanente;CC-431-0;5017,6985;580,0863;5597,7848
2019;8;Extremadura;Cáceres;A-58;Permanente;CC-207-0;2777,0;160,0;2937,0
2019;8;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5026,0002;283,0;5309,0002
2019;8;Extremadura;Cáceres;A-58;Permanente;CC-429-0;7238,9999;305,0;7543,9999
2019;8;Extremadura;Badajoz;A-66;Permanente;BA-34-0;4202,0844;473,5632;4675,6476
2019;8;Extremadura;Cáceres;A-66;Permanente;CC-212-0;3803,4023;493,1664;4296,5687
2019;8;Extremadura;Cáceres;A-66;Permanente;CC-88-0;3704,4823;432,7153;4137,1976
2019;8;Extremadura;Badajoz;N-430;Permanente;BA-209-0;1679,5718;306,0649;1985,6367
2019;8;Extremadura;Badajoz;N-432;Permanente;BA-222-0;272,6801;13,6789;286,359
2019;8;Extremadura;Badajoz;N-432;Permanente;BA-223-0;0,0;0,0;0,0
2019;8;Extremadura;Badajoz;N-435;Permanente;BA-224-0;906,4164;87,5446;993,961
2019;8;Extremadura;Cáceres;N-521;Permanente;CC-231-0;2048,7653;125,5799;2174,3452
2019;8;Extremadura;Cáceres;N-521;Permanente;CC-381-0;1520,5528;53,0802;1573,633
2019;8;Extremadura;Cáceres;N-521;Permanente;CC-430-0;18,0276;0,4323;18,4599
2019;8;Extremadura;Cáceres;N-521;Permanente;CC-7-0;314,2627;13,1278;327,3905
2019;8;Extremadura;Cáceres;N-630;Permanente;CC-210-0;26,2161;1,5842;27,8003
2019;8;Extremadura;Cáceres;N-630;Permanente;CC-232-0;30,6156;4,7796;35,3952
2019;9;Extremadura;Badajoz;A-5;Permanente;BA-208-0;5268,8376;863,4071;6132,2447
2019;9;Extremadura;Badajoz;A-5;Permanente;BA-382-0;2695,9168;733,6527;3429,5695
2019;9;Extremadura;Badajoz;A-5;Permanente;BA-4-0;4222,9632;1055,6057;5278,5689
2019;9;Extremadura;Cáceres;A-5;Permanente;CC-211-0;4172,3934;694,7583;4867,1517
2019;9;Extremadura;Cáceres;A-5;Permanente;CC-431-0;3489,4867;621,0864;4110,5731
2019;9;Extremadura;Cáceres;A-58;Permanente;CC-207-0;2987,0001;162,0;3149,0001
2019;9;Extremadura;Cáceres;A-58;Permanente;CC-356-0;5513,9998;289,0;5802,9998
2019;9;Extremadura;Cáceres;A-58;Permanente;CC-429-0;7893,0;314,0;8207,0
2019;9;Extremadura;Badajoz;A-66;Permanente;BA-34-0;2753,9779;529,0615;3283,0394
2019;9;Extremadura;Cáceres;A-66;Permanente;CC-212-0;2512,4247;552,9007;3065,3254
2019;9;Extremadura;Cáceres;A-66;Permanente;CC-88-0;2739,6539;462,5824;3202,2363
