AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;La Rioja;La Rioja;A-12;Permanente;LO-60-0;11733,7963;2021,2691;13755,0654
2019;1;La Rioja;La Rioja;N-111;Permanente;LO-260-0;539,1219;130,0375;669,1594
2019;1;La Rioja;La Rioja;N-232;Permanente;LO-15-0;858,5333;116,9574;975,4907
2019;2;La Rioja;La Rioja;A-12;Permanente;LO-60-0;11617,6199;2168,9507;13786,5706
2019;2;La Rioja;La Rioja;N-111;Permanente;LO-260-0;622,915;142,2902;765,2052
2019;2;La Rioja;La Rioja;N-232;Permanente;LO-15-0;884,6399;124,5657;1009,2056
2019;3;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12084,2938;2095,1099;14179,4037
2019;3;La Rioja;La Rioja;N-111;Permanente;LO-260-0;739,1188;143,476;882,5948
2019;3;La Rioja;La Rioja;N-232;Permanente;LO-15-0;909,553;118,8968;1028,4498
2019;4;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12582,4737;2061,6352;14644,1089
2019;4;La Rioja;La Rioja;N-111;Permanente;LO-260-0;766,7863;138,3377;905,124
2019;4;La Rioja;La Rioja;N-232;Permanente;LO-15-0;967,2858;119,046;1086,3318
2019;5;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12440,6992;2218,1779;14658,8771
2019;5;La Rioja;La Rioja;N-111;Permanente;LO-260-0;790,5014;152,1715;942,6729
2019;5;La Rioja;La Rioja;N-232;Permanente;LO-15-0;958,6334;125,0132;1083,6466
2019;6;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12276,28;2074,4343;14350,7143
2019;6;La Rioja;La Rioja;N-111;Permanente;LO-260-0;881,0137;151,381;1032,3947
2019;6;La Rioja;La Rioja;N-232;Permanente;LO-15-0;958,7826;113,5263;1072,3089
2019;7;La Rioja;La Rioja;A-12;Permanente;LO-60-0;13342,5418;2265,436;15607,9778
2019;7;La Rioja;La Rioja;N-111;Permanente;LO-260-0;952,1589;160,4718;1112,6307
2019;7;La Rioja;La Rioja;N-232;Permanente;LO-15-0;946,5498;123,5214;1070,0712
2019;8;La Rioja;La Rioja;A-12;Permanente;LO-60-0;13849,5815;1835,1903;15684,7718
2019;8;La Rioja;La Rioja;N-111;Permanente;LO-260-0;1141,0887;135,9662;1277,0549
2019;8;La Rioja;La Rioja;N-232;Permanente;LO-15-0;986,9777;108,0066;1094,9843
2019;9;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12449,5598;2129,5688;14579,1286
2019;9;La Rioja;La Rioja;N-111;Permanente;LO-260-0;881,8042;152,962;1034,7662
2019;9;La Rioja;La Rioja;N-232;Permanente;LO-15-0;985,4859;126,505;1111,9909
2019;10;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12976,2913;2278,2351;15254,5264
2019;10;La Rioja;La Rioja;N-111;Permanente;LO-260-0;952,5542;164,8195;1117,3737
2019;10;La Rioja;La Rioja;N-232;Permanente;LO-15-0;962,9596;135,1575;1098,1171
2019;11;La Rioja;La Rioja;A-12;Permanente;LO-60-0;11945,4736;2048,8362;13994,3098
2019;11;La Rioja;La Rioja;N-111;Permanente;LO-260-0;715,4037;139,5235;854,9272
2019;11;La Rioja;La Rioja;N-232;Permanente;LO-15-0;914,6252;124,1181;1038,7433
2019;12;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12487,9573;2006,5008;14494,4581
2019;12;La Rioja;La Rioja;N-111;Permanente;LO-260-0;675,8786;118,9705;794,8491
2019;12;La Rioja;La Rioja;N-232;Permanente;LO-15-0;901,3481;109,2001;1010,5482
2020;1;La Rioja;La Rioja;A-12;Permanente;LO-60-0;10904,8099;1930,6909;12835,5008
2020;1;La Rioja;La Rioja;N-111;Permanente;LO-260-0;572,9339;127,3627;700,2966
2020;1;La Rioja;La Rioja;N-232;Permanente;LO-15-0;851,8556;112,9722;964,8278
2020;2;La Rioja;La Rioja;A-12;Permanente;LO-60-0;11720,0131;2130,5535;13850,5666
2020;2;La Rioja;La Rioja;N-111;Permanente;LO-260-0;671,3325;134,9013;806,2338
2020;2;La Rioja;La Rioja;N-232;Permanente;LO-15-0;906,172;120,7531;1026,9251
2020;3;La Rioja;La Rioja;A-12;Permanente;LO-60-0;6633,8582;1934,6292;8568,4874
2020;3;La Rioja;La Rioja;N-111;Permanente;LO-260-0;322,1761;116,65;438,8261
2020;3;La Rioja;La Rioja;N-232;Permanente;LO-15-0;552,5914;107,5855;660,1769
2020;4;La Rioja;La Rioja;A-12;Permanente;LO-60-0;3040,2722;1357,6863;4397,9585
2020;4;La Rioja;La Rioja;N-111;Permanente;LO-260-0;98,0018;84,5117;182,5135
2020;4;La Rioja;La Rioja;N-232;Permanente;LO-15-0;295,3738;83,6443;379,0181
2020;5;La Rioja;La Rioja;A-12;Permanente;LO-60-0;6904,6079;1607,7605;8512,3684
2020;5;La Rioja;La Rioja;N-111;Permanente;LO-260-0;304,3215;105,1437;409,4652
2020;5;La Rioja;La Rioja;N-232;Permanente;LO-15-0;519,5227;96,0638;615,5865
2020;6;La Rioja;La Rioja;A-12;Permanente;LO-60-0;10567,1119;1963,1808;12530,2927
2020;6;La Rioja;La Rioja;N-111;Permanente;LO-260-0;624,9106;131,7272;756,6378
2020;6;La Rioja;La Rioja;N-232;Permanente;LO-15-0;767,6127;107,4359;875,0486
2020;7;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12610,0408;2130,5535;14740,5943
2020;7;La Rioja;La Rioja;N-111;Permanente;LO-260-0;964,5445;163,4687;1128,0132
2020;7;La Rioja;La Rioja;N-232;Permanente;LO-15-0;900,0371;118,9575;1018,9946
2020;8;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12803,9961;1783,0093;14587,0054
2020;8;La Rioja;La Rioja;N-111;Permanente;LO-260-0;1088,733;136,0916;1224,8246
2020;8;La Rioja;La Rioja;N-232;Permanente;LO-15-0;921,5841;103,5454;1025,1295
2020;9;La Rioja;La Rioja;A-12;Permanente;LO-60-0;11322,2567;1995,6709;13317,9276
2020;9;La Rioja;La Rioja;N-111;Permanente;LO-260-0;750,6862;147,2012;897,8874
2020;9;La Rioja;La Rioja;N-232;Permanente;LO-15-0;900,9349;126,888;1027,8229
2020;10;La Rioja;La Rioja;A-12;Permanente;LO-60-0;11063,322;2051,7899;13115,1119
2020;10;La Rioja;La Rioja;N-111;Permanente;LO-260-0;721,7221;142,0432;863,7653
2020;10;La Rioja;La Rioja;N-232;Permanente;LO-15-0;767,3135;119,8553;887,1688
2020;11;La Rioja;La Rioja;A-12;Permanente;LO-60-0;8188,4532;1997,64;10186,0932
2020;11;La Rioja;La Rioja;N-111;Permanente;LO-260-0;386,4526;128,9498;515,4024
2020;11;La Rioja;La Rioja;N-232;Permanente;LO-15-0;712,997;119,1072;832,1042
2020;12;La Rioja;La Rioja;A-12;Permanente;LO-60-0;10148,6807;1703,2613;11851,942
2020;12;La Rioja;La Rioja;N-111;Permanente;LO-260-0;472,9482;110,6984;583,6466
2020;12;La Rioja;La Rioja;N-232;Permanente;LO-15-0;751,1532;108,7825;859,9357
2021;1;La Rioja;La Rioja;A-12;Permanente;LO-60-0;7392,9418;1715,0758;9108,0176
2021;1;La Rioja;La Rioja;N-111;Permanente;LO-260-0;289,2443;94,4309;383,6752
2021;1;La Rioja;La Rioja;N-232;Permanente;LO-15-0;629,6426;102,8334;732,476
2021;2;La Rioja;La Rioja;A-12;Permanente;LO-60-0;8149,0711;2049,8207;10198,8918
2021;2;La Rioja;La Rioja;N-111;Permanente;LO-260-0;351,9338;121,0144;472,9482
2021;2;La Rioja;La Rioja;N-232;Permanente;LO-15-0;662,0189;123,8009;785,8198
2021;3;La Rioja;La Rioja;A-12;Permanente;LO-60-0;11189,3435;2173,8734;13363,2169
2021;3;La Rioja;La Rioja;N-111;Permanente;LO-260-0;513,4186;136,4884;649,907
2021;3;La Rioja;La Rioja;N-232;Permanente;LO-15-0;817,7336;130,4304;948,164
2021;4;La Rioja;La Rioja;A-12;Permanente;LO-60-0;10852,6292;1970,0726;12822,7018
2021;4;La Rioja;La Rioja;N-111;Permanente;LO-260-0;530,8764;126,1724;657,0488
2021;4;La Rioja;La Rioja;N-232;Permanente;LO-15-0;698,4037;118,4049;816,8086
2021;5;La Rioja;La Rioja;A-12;Permanente;LO-60-0;11955,3187;2072,4653;14027,784
2021;5;La Rioja;La Rioja;N-111;Permanente;LO-260-0;715,3738;143,2335;858,6073
2021;5;La Rioja;La Rioja;N-232;Permanente;LO-15-0;887,2657;128,2719;1015,5376
2021;6;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12369,8119;2139,4143;14509,2262
2021;6;La Rioja;La Rioja;N-111;Permanente;LO-260-0;887,1746;152,7559;1039,9305
2021;6;La Rioja;La Rioja;N-232;Permanente;LO-15-0;981,7737;125,8052;1107,5789
2021;7;La Rioja;La Rioja;A-12;Permanente;LO-60-0;13440,0117;2065,5735;15505,5852
2021;7;La Rioja;La Rioja;N-111;Permanente;LO-260-0;1007,3955;160,2945;1167,69
2021;7;La Rioja;La Rioja;N-232;Permanente;LO-15-0;987,7865;119,9466;1107,7331
2021;8;La Rioja;La Rioja;A-12;Permanente;LO-60-0;13905,7011;1825,3448;15731,0459
2021;8;La Rioja;La Rioja;N-111;Permanente;LO-260-0;1172,848;137,6787;1310,5267
2021;8;La Rioja;La Rioja;N-232;Permanente;LO-15-0;1060,2478;113,9338;1174,1816
2021;9;La Rioja;La Rioja;A-12;Permanente;LO-60-0;12695,6958;2130,5535;14826,2493
2021;9;La Rioja;La Rioja;N-111;Permanente;LO-260-0;883,207;146,8044;1030,0114
2021;9;La Rioja;La Rioja;N-232;Permanente;LO-15-0;1018,7752;130,2762;1149,0514
