AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;1;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2410,8849;189,7481;2600,633
2019;1;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;517,3776;116,3896;633,7672
2019;1;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;2998,0584;538,7437;3536,8021
2019;1;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;613,1894;111,6505;724,8399
2019;1;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;2238,5424;441,841;2680,3834
2019;1;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;180,728;38,9667;219,6947
2019;1;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;438,2881;18,4512;456,7393
2019;1;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;18,5215;2,8507;21,3722
2019;1;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;8,9597;0,8574;9,8171
2019;1;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;550,8319;41,4226;592,2545
2019;1;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;330,3371;29,4728;359,8099
2019;2;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2594,3158;200,0427;2794,3585
2019;2;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;566,0768;122,0192;688,096
2019;2;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;3452,0494;598,3078;4050,3572
2019;2;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;659,7218;106,0475;765,7693
2019;2;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;2454,2768;529,2609;2983,5377
2019;2;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;214,1206;44,6717;258,7923
2019;2;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;508,9705;19,3028;528,2733
2019;2;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;22,9377;3,6499;26,5876
2019;2;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;10,4387;0,9003;11,339
2019;2;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;586,1831;41,6184;627,8015
2019;2;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;355,5748;29,4728;385,0476
2019;3;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2589,4805;194,7394;2784,2199
2019;3;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;618,7099;121,2053;739,9152
2019;3;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;3922,3388;601,2712;4523,61
2019;3;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;708,7141;106,7308;815,4449
2019;3;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;2848,4073;526,0011;3374,4084
2019;3;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;246,4663;44,253;290,7193
2019;3;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;549,2794;21,006;570,2854
2019;3;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;27,3127;3,1885;30,5012
2019;3;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;12,1321;0,8788;13,0109
2019;3;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;576,8801;42,206;619,0861
2019;3;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;371,7373;31,5471;403,2844
2019;4;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2622,938;196,0652;2819,0032
2019;4;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;634,7847;129,0053;763,79
2019;4;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;4257,2015;612,5321;4869,7336
2019;4;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;746,6371;116,2286;862,8657
2019;4;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;3032,4336;536,9657;3569,3993
2019;4;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;237,2023;45,5615;282,7638
2019;4;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;621,0973;22,1415;643,2388
2019;4;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;23,4485;2,8343;26,2828
2019;4;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;12,8608;0,8788;13,7396
